idPosto,nome,codigo_banco,codigo_snirh,x,y,z,banco
25364919_simepar,Colombo_Alto_da_Cruz_cem,25364919,,-49.1892,-25.3612,,simepar
25365143_simepar,Guarapuava_Imovel_Morro_Alto_cem,25365143,,-51.43377,-25.35533,,simepar
25365239_simepar,Laranjeiras_do_Sul_inmet,25365239,,-52.39194,-25.36894,835.0,simepar
25374931_simepar,Almirante_Tamandare_Jd_Tangua_cem,25374931,,-49.308,-25.371,,simepar
25375212_simepar,Cantagalo_Centro_cem,25375212,,-52.12637,-25.37224,,simepar
25375427_simepar,Sao_Miguel_do_Iguacu_Rua_Noe_Medeiros_cem,25375427,,-54.27,-25.37306,,simepar
25384920_simepar,Curitiba_Atuba_cem,25384920,,-49.197,-25.384,,simepar
25384924_simepar,Curitiba_Boa_Vista_cem,25384924,,-49.245,-25.379,,simepar
25384930_simepar,Curitiba_Pilarzinho_cem,25384930,,-49.295,-25.38,,simepar
25384933_simepar,Curitiba_Santa_Felicidade_1_cem,25384933,,-49.332,-25.382,,simepar
25385149_simepar,Guarapuava_iapar,25385149,,-51.49391,-25.38495,1029.0,simepar
25385157_simepar,Pinhao_sim,25385157,2551071.0,-51.9625,-25.64944,910.0,simepar
25385201_simepar,PCH_Cavernoso_II_Vau_dos_Ribeiros,25385201,2552062.0,-52.2561,-25.3803,,simepar
25395143_simepar,Eta_Guarapuava_ap,25395143,2551064.0,-51.43653,-25.39914,,simepar
25404918_simepar,Pinhais_Jardim_Claudia_cem,25404918,,-49.18,-25.4,,simepar
25404919_simepar,Pinhais_Jardim_Atuba_cem,25404919,,-49.193,-25.4,,simepar
25405149_simepar,Guarapuava_Vila_Bela_cem,25405149,,-51.49242,-25.40131,,simepar
25405259_simepar,PCH_Arturo_Andreoli_ Flor_da_Serra,25405259,2553052.0,-52.5901,-25.4055,382.0,simepar
25414930_simepar,Curitiba_Vista_Alegre_cem,25414930,,-49.301,-25.413,,simepar
25414936_simepar,Curitiba_Butiatuvinha_cem,25414936,,-49.36184,-25.41118,,simepar
25424934_simepar,Curitiba_Sao_Braz_cem,25424934,,-49.342,-25.417,,simepar
25424938_simepar,Ponte_BR_277_Campo_Largo_ap,25424938,2549186.0,-49.38794,-25.42697,,simepar
25425241_simepar,Laranjeiras_do_Sul_sim,25425241,,-52.41211,-25.42767,838.0,simepar
25435059_simepar,Fernandes_Pinheiro_Irati_iapar,25435059,,-50.59503,-25.44331,872.0,simepar
25435458_simepar,Foz_do_Iguacu_Itaipu_sim,25435458,,-54.58286,-25.4361,168.0,simepar
25444916_simepar,Pinhais_Maria_Antonieta_cem,25444916,,-49.165,-25.442,,simepar
25444920_simepar,Pinhais_Estancia_Pinhais_cem,25444920,,-49.199,-25.438,,simepar
25444935_simepar,Curitiba_Santa_Felicidade_2_cem,25444935,,-49.35,-25.435,,simepar
25444946_simepar,Campo_Largo_Ferraria_cem,25444946,,-49.45527,-25.43937,,simepar
