fid,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
"45","26255110",UNIÃO DA VITÓRIA - Rio da Praia,CEMADEN,P,-51.1,-26.251,,2014-07-25
"46","26094980",RIO NEGRO - R. Emílio Von Linzingen,CEMADEN,P,-49.8,-26.089,,2014-07-25
"47","26124978",RIO NEGRO - Vila São Judas Tadeu,CEMADEN,P,-49.776,-26.118,,2014-07-25
"48","25454910",PIRAQUARA - Jardim Santa Mônica,CEMADEN,P,-49.101,-25.45,,2014-07-25
"49","25464915",PIRAQUARA - Vila Mariana,CEMADEN,P,-49.147,-25.46,,2014-07-25
"50","25474906",PIRAQUARA - Horto Municipal,CEMADEN,P,-49.058,-25.472,,2014-07-25
"51","25364924",Araucária,Suderhsa,A,-49.3981,-25.6002,897,2008-01-01
"52","25815290",PCH Bela Vista reservatório,Simepar,H,-52.9012,-25.81853,466,2021-04-06
"53","25424911",Iraí Iguaçu- Barragem Iraí,SANEPAR,H,-49.1129,-25.42566,,2015-01-01
"54","25464957",Santa Cecília,Águas Paraná,P,-49.57091,-25.46276,,2016-06-14
"55","25314912",Cidade Jardim,Suderhsa,F,-49.2141,-25.5238,906,
"56","26005139",Foz do Areia,Simepar,H,-51.66754,-26.00639,728.2,1998-03-06
"57","25264916",Curitiba,Simepar,M,-49.23033,-25.44817,935,1997-06-01
"58","26715150",Água Doce - Trento,Epagri/Ciram,M,-51.5,-26.71,,2015-04-08
"59","26475197",Palmas,Iapar,M,-51.97467,-26.46711,1093,2015-12-11
"60","25505367",Baixo Iguaçu,Simepar,M,-53.67738,-25.50895,274,2017-07-13
"61","25504918",SÃO JOSÉ DOS PINHAIS- Afonso Pena,CEMADEN,P,-49.18,-25.503,906,2014-07-25
"62","25784976",Lapa,Epagri/Ciram,P,-49.7625,-25.7817,945,2010-06-18
"63","26815098",Caçador,Epagri/Ciram,M,-50.985,-26.81861,960,2015-04-09
"64","26285364",Dionísio Cerqueira,Epagri/Ciram,M,-53.63278,-26.28639,810,2014-01-01
"65","26825087",Caçador,Epagri/Ciram,H,-50.87,-26.82167,960,2008-01-01
"66","26025035",Fluviopolis,Simepar,H,-50.59233,-26.02146,0,1997-06-01
"67","25325330",Salto Caxias,Simepar,H,-53.5,-25.5333,420,1997-06-01
"68","25555031",Pontilhão,Simepar,H,-50.5166,-25.9166,0,1997-06-01
"69","25485116",Madeireira Gavazzoni,Simepar,H,-51.22884,-25.80682,0,1997-06-11
"70","25505036",Teixeira Soares,Epagri/Ciram,P,-50.36111,-25.50528,1016.08,2009-07-08
"71","26125265",Pato Branco,Iapar,M,-52.65192,-26.12338,716,2015-08-01
"72","26085306",Francisco Beltrão,Iapar,M,-53.06419,-26.08391,628,2015-08-01
"73","25095359",Santa Tereza d´Oeste,Iapar,M,-53.58962,-25.0876,752,2015-08-01
"74","25384915",Santa Mônica,Epagri/Ciram,P,-49.2552,-25.635,868,2010-06-10
"75","26025109",Palmital do Meio,Simepar,H,-51.14149,-26.02999,0,1997-06-01
"76","25475206",Segredo,Simepar,H,-52.11895,-25.7911,0,1999-01-01
"77","25435059",Fernandes Pinheiro / Irati,Iapar,M,-50.59503,-25.44331,872,2015-08-01
"78","25725375",Planalto,Iapar,M,-53.74788,-25.72189,400,2015-08-01
"79","25494929",CURITIBA- Escola Municipal M. Clara B. Tesserolli,CEMADEN,P,-49.288,-25.4877,,2015-02-23
"80","25385149",Guarapuava,Iapar,M,-51.49391,-25.38495,1029,2015-08-01
"81","26425235",Clevelândia,Iapar,M,-52.34859,-26.41723,966,2015-08-01
"82","25544938",ARAUCÁRIA- Escola Municipal Eglé Cordeiro Machado Pinto,CEMADEN,P,-49.3813,-25.5433,897,2015-02-23
"83","25534921",SÃO JOSÉ DOS PINHAIS- Centro,CEMADEN,P,-49.206,-25.534,906,2014-07-25
"84","25554920",SÃO JOSÉ DOS PINHAIS - São Pedro,CEMADEN,P,-49.196,-25.55,906,2014-07-25
"85","25544909",SÃO JOSÉ DOS PINHAIS - Borda do Campo,CEMADEN,P,-49.091,-25.537,906,2015-02-05
"86","25614917",SÃO JOSÉ DOS PINHAIS - São Marcos,CEMADEN,P,-49.169,-25.606,906,2014-07-25
