fid,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
"276","25454956",CAMPO LARGO - Vila Andreas,CEMADEN,P,-49.55519,-25.44889,,2016-02-19
"277","25445363",CAPITÃO LEÔNIDAS MARQUES - Bom Jesus,CEMADEN,P,-53.633,-25.438,,2014-07-25
"278","25485361",CAPITÃO LEÔNIDAS MARQUES - Rua Catanduvas,CEMADEN,P,-53.606,-25.481,,2014-07-25
"279","25005346",CASCAVEL - Centro,CEMADEN,P,-53.46367,-24.99532,,2015-02-23
"280","24925344",CASCAVEL - Tarumã,CEMADEN,P,-53.4352,-24.9202,,2015-02-23
"281","25364919",COLOMBO - Alto da Cruz,CEMADEN,P,-49.1892,-25.3612,,2015-02-23
"282","24965346",CASCAVEL - Un. de á Centro,CEMADEN,P,-53.45782,-24.9571,,2015-02-23
"283","25985256",CORONEL VIVIDA - Prefeitura Municipal,CEMADEN,P,-52.5634,-25.9801,,2015-02-19
"284","25424934",CURITIBA - São Braz,CEMADEN,P,-49.342,-25.417,,2014-12-12
"285","25354926",CURITIBA - Cachoeira,CEMADEN,P,-49.25527,-25.3536,,2015-03-10
"286","25444935",CURITIBA - Santa Felicidade,CEMADEN,P,-49.35,-25.435,,2015-02-05
"287","25414936",CURITIBA - Butiatuvinha,CEMADEN,P,-49.36184,-25.41118,,2015-03-10
"288","25414930",CURITIBA - Vista Alegre,CEMADEN,P,-49.301,-25.413,,2014-12-12
"289","25384933",CURITIBA - Santa Felicidade,CEMADEN,P,-49.332,-25.382,,2014-12-14
"290","25384924",CURITIBA - Boa Vista,CEMADEN,P,-49.245,-25.379,,2014-12-14
"291","25384920",CURITIBA - Atuba,CEMADEN,P,-49.197,-25.384,,2015-02-05
"292","25564928",CURITIBA - Umbará,CEMADEN,P,-49.284,-25.555,,2015-02-05
"293","26265364",DIONÍSIO CERQUEIRA - Prefeitura Municipal,CEMADEN,P,-53.63747,-26.26219,,2015-02-28
"294","25755305",DOIS VIZINHOS - Prefeitura Municipal,CEMADEN,P,-53.05351,-25.74991,,2015-02-23
"295","25654931",FAZENDA RIO GRANDE - Naçཞs,CEMADEN,P,-49.30742,-25.64902,,2016-02-21
"296","26045306",FRANCISCO BELTRÃO - Pinheirinho,CEMADEN,P,-53.06013,-26.04632,,2015-02-24
"297","26075307",FRANCISCO BELTRÃO - São Miguel,CEMADEN,P,-53.07376,-26.06924,,2015-02-24
"298","26445269",GALVÃO - Escola Linha Santin,CEMADEN,P,-52.68857,-26.43919,,2015-03-02
"299","26455269",GALVÃO - Esperança,CEMADEN,P,-52.68987,-26.45139,,2015-02-28
"300","25105287",GUARANIAÇU - Centro,CEMADEN,P,-52.866,-25.1,,2014-07-25
"301","25405149",GUARAPUAVA - Vila Bela,CEMADEN,P,-51.49242,-25.40131,,2015-02-25
"302","25365143",GUARAPUAVA - Imovel Morro Alto,CEMADEN,P,-51.43377,-25.35533,,2015-02-24
"303","26264951",RIO NEGRINHO - Alegre,CEMADEN,P,-49.509,-26.261,,2014-07-25
"304","26234950",RIO NEGRINHO - Industrial Norte,CEMADEN,P,-49.496,-26.229,,2014-07-25
"305","26094978",RIO NEGRO - Bom Jesus,CEMADEN,P,-49.781,-26.085,,2015-02-05
"306","26114981",MAFRA - Centro,CEMADEN,P,-49.806,-26.114,,2014-07-25
"307","26134980",MAFRA - Rio da Lanca,CEMADEN,H,-49.7958,-26.127,,2015-03-03
"308","25885042",SÃO MATEUS DO SUL - SaoMateus02,CEMADEN,P,-50.41684,-25.88059,,2016-02-19
"309","25535454",FOZ DO IGUAÇU - São Miguel,CEMADEN,P,-54.54101,-25.53406,,2017-10-04
"310","26235108",PORTO UNIÃO - Centro,CEMADEN,P,-51.084,-26.236,,2017-09-03
"311","25475458",FOZ DO IGUAÇU - Porto Belo,CEMADEN,P,-54.58558,-25.47005,,2017-10-04
"312","25575457",FOZ DO IGUAÇU - Vila Boa Esperança,CEMADEN,P,-54.57014,-25.57402,,2017-10-05
"313","25375212",CANTAGALO - Centro,CEMADEN,P,-52.12637,-25.37224,,2017-10-07
