idPosto,inicio_serie
 65883051_ana,2015-02-24 19:00:00+00:00
 65889700_ana,2016-02-02 00:00:00+00:00
 65894991_ana,2015-02-24 19:00:00+00:00
 65945200_ana,2014-11-29 16:00:00+00:00
 65945400_ana,2014-11-28 15:00:00+00:00
 65945500_ana,2014-11-27 21:00:00+00:00
 65945600_ana,2014-11-28 15:00:00+00:00
 65954200_ana,2021-01-28 14:00:00+00:00
 65954250_ana,2020-01-01 00:00:00+00:00
 65954300_ana,2020-01-01 00:00:00+00:00
 65954400_ana,2021-01-28 15:00:00+00:00
 65954900_ana,2018-06-26 21:00:00+00:00
 65954950_ana,2018-07-26 22:00:00+00:00
 65975300_ana,2014-05-01 15:00:00+00:00
 65980500_ana,2015-01-01 03:00:00+00:00
 65981500_ana,2015-11-01 03:00:00+00:00
 65983100_ana,2018-11-29 11:00:00+00:00
 65984000_ana,2015-01-01 03:00:00+00:00
 65987000_ana,2009-09-17 10:00:00+00:00
 65992500_ana,2005-10-05 10:00:00+00:00
 65992502_ana,2015-03-12 17:00:00+00:00
