,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
3266,20814941, SÃO JOSÉ DO RIO PRETO - dois,CEMADEN,P,-49.4117,-20.8181,,2014-12-02
3267,21144778,RIBEIRÃO PRETO- Vila Mariana,CEMADEN,P,-47.784,-21.145,,2014-12-03
3268,26145104,União da Vitória,Simepar,H,-51.08059,-26.22772,749.0,1997-06-01
3269,25485173,Fazenda Aurora,ELEJOR,H,-51.73786,-25.4879,,2015-04-10
3270,22324855,JAÚ - Jardim Pedro Ometto,CEMADEN,P,-48.548,-22.316,,2015-07-01
3271,4614498,LAGO DOS RODRIGUES - PrefeituraMunicipal,CEMADEN,P,-44.9822,-4.61398,,2015-08-17
3272,2524417,SÃO LUÍS - EletronorteSL3,CEMADEN,P,-44.17085,-2.51739,,2015-08-17
3273,3674663,TUFILÂNDIA - Hospital Santa Teresinha,CEMADEN,P,-46.63328,-3.67095,,2015-08-17
3274,15655604,CUIABÁ - Centro de Saúde,CEMADEN,P,-56.04497,-15.64783,,2015-08-17
3275,3634438,CANTANHEDE - Hospital Santa Filomena,CEMADEN,P,-44.37722,-3.63431,,2015-08-17
3276,3554392,VARGEM GRANDE - Creche Ana Maria Nascimento Fernandes,CEMADEN,P,-43.92218,-3.54754,,2015-08-17
3277,24094836,RIBEIRÃO GRANDE - ,CEMADEN,P,-48.3651,-24.0966,,2014-12-02
3278,8603858,FLORESTA - Centro,CEMADEN,P,-38.581,-8.598,,2015-08-31
3279,9163553,MATRIZ DE CAMARAGIBE - Hospital Municipal,CEMADEN,P,-35.53084,-9.15748,,2015-08-31
3280,23624680,TABOÃO DA SERRA - ,CEMADEN,P,-46.8045,-23.6263,,2014-12-02
3281,22274854,JAÚ - ,CEMADEN,P,-48.5404,-22.2717,,2014-12-02
3282,23484660,SÃO PAULO - Avenida Tucuruvi,CEMADEN,P,-46.604,-23.481,,2014-12-02
3283,23614679,TABOÃO DA SERRA - ,CEMADEN,P,-46.7984,-23.6115,,2014-12-02
3284,22614736,LIMEIRA - ,CEMADEN,P,-47.3656,-22.6197,,2014-12-02
3285,22324910,BAURU - ,CEMADEN,P,-49.1027,-22.3287,,2014-12-02
3286,23534692,ITAPEVI - ,CEMADEN,P,-46.9281,-23.53,,2014-12-02
3287,22744689,PEDREIRA - ,CEMADEN,P,-46.8956,-22.7431,,2014-12-03
3288,23144654,ATIBAIA - ,CEMADEN,P,-46.5463,-23.1487,,2014-12-03
3289,22564715,ARTUR NOGUEIRA - ,CEMADEN,P,-47.1544,-22.5672,,2014-12-03
3290,22554716,ARTUR NOGUEIRA - ,CEMADEN,P,-47.1678,-22.5528,,2014-12-03
3291,23104650,ATIBAIA - ,CEMADEN,P,-46.5055,-23.1067,,2014-12-03
3292,21894789,SÃO CARLOS - ,CEMADEN,P,-47.8974,-21.8982,,2014-12-03
3293,23554642,SÃO PAULO - Jardim São Pedro,CEMADEN,P,-46.423,-23.555,,2014-12-03
3294,22724690,PEDREIRA - ,CEMADEN,P,-46.9008,-22.7261,,2014-12-03
3295,22704681,AMPARO - ,CEMADEN,P,-46.8186,-22.7044,,2014-12-03
3296,7233941,CRATO - Crato,CEMADEN,H,-39.4167,-7.238,,2014-12-03
3297,23334660,MAIRIPORÃ - ,CEMADEN,P,-46.6007,-23.3396,,2014-12-03
3298,8733579,JAQUEIRA - Jaqueira,CEMADEN,H,-35.7973,-8.7328,,2014-12-03
3299,6753896,LAVRAS DA MANGABEIRA - Lavras de Mangabeira,CEMADEN,H,-38.9604,-6.7538,,2014-12-04
3300,22474662,ÁGUAS DE LINDÓIA - ,CEMADEN,P,-46.6289,-22.4753,,2014-12-04
3301,4864337,CAXIAS - CEI Marcelo Dino,CEMADEN,P,-43.37018,-4.85817,,2015-08-17
3302,22954326,RIO DE JANEIRO - Escola Municipal Araújo Porto Alegre,CEMADEN,P,-43.258,-22.948,,2015-05-20
3303,23524637,FERRAZ DE VASCONCELOS- Jardim Lazaro,CEMADEN,P,-46.3727,-23.5217,,2014-12-09
3304,8143540,POMBOS - Vila São José,CEMADEN,P,-35.39963,-8.13689,,2015-08-31
3305,23364785,TATUÍ - Centro,CEMADEN,P,-47.851,-23.35854,,2015-09-24
