id,Nr_Bacia,x,y
"588","16",-51.700,-25.900
"589","16",-51.600,-25.900
"590","12",-51.500,-25.900
"591","12",-51.400,-25.900
"592","12",-51.300,-25.900
"593","12",-51.200,-25.900
"594","12",-51.100,-25.900
"595","9",-51.000,-25.900
"596","4",-50.900,-25.900
"597","4",-50.800,-25.900
"598","4",-50.700,-25.900
"599","4",-50.600,-25.900
"600","8",-50.500,-25.900
"601","8",-50.400,-25.900
"602","6",-50.300,-25.900
"603","6",-50.200,-25.900
"604","6",-50.100,-25.900
"605","7",-50.000,-25.900
"606","7",-49.900,-25.900
"607","7",-49.800,-25.900
"608","3",-49.700,-25.900
"609","3",-49.600,-25.900
"610","3",-49.500,-25.900
"611","3",-49.400,-25.900
"612","3",-49.300,-25.900
"613","3",-49.200,-25.900
"623","21",-53.800,-26.000
"624","21",-53.700,-26.000
"625","20",-53.600,-26.000
"626","20",-53.500,-26.000
"627","20",-53.400,-26.000
"628","20",-53.300,-26.000
"629","15",-53.200,-26.000
"630","15",-53.100,-26.000
"631","15",-53.000,-26.000
"632","15",-52.900,-26.000
"633","15",-52.800,-26.000
"634","15",-52.700,-26.000
"635","15",-52.600,-26.000
"636","15",-52.500,-26.000
"637","15",-52.400,-26.000
"638","16",-52.300,-26.000
"639","16",-52.200,-26.000
"640","16",-52.100,-26.000
"641","16",-52.000,-26.000
"642","16",-51.900,-26.000
"643","16",-51.800,-26.000
"644","16",-51.700,-26.000
"645","12",-51.600,-26.000
"646","12",-51.500,-26.000
"647","12",-51.400,-26.000
"648","12",-51.300,-26.000
"649","12",-51.200,-26.000
"650","12",-51.100,-26.000
"651","12",-51.000,-26.000
"652","9",-50.900,-26.000
"653","9",-50.800,-26.000
"654","9",-50.700,-26.000
"655","8",-50.600,-26.000
"656","8",-50.500,-26.000
"657","8",-50.400,-26.000
"658","7",-50.300,-26.000
"659","7",-50.200,-26.000
"660","7",-50.100,-26.000
"661","7",-50.000,-26.000
"662","7",-49.900,-26.000
"663","7",-49.800,-26.000
"664","3",-49.700,-26.000
"665","3",-49.600,-26.000
"666","3",-49.500,-26.000
"667","3",-49.400,-26.000
"668","3",-49.300,-26.000
"669","1",-49.200,-26.000
"670","1",-49.100,-26.000
"671","1",-49.000,-26.000
"680","21",-53.700,-26.100
"681","20",-53.600,-26.100
"682","20",-53.500,-26.100
"683","20",-53.400,-26.100
