,estaltitude,estiniciooperacao,estlatitude,estlongitude,estnome,esttipo,field_1,orgsigla
26774896,,2014/07/25,-26.767,-48.963,LUIZ ALVES - Braço do Francês,P,5041.0,CEMADEN
26704890,,2014/07/25,-26.695,-48.904,LUIZ ALVES - Vila do Salto,P,5043.0,CEMADEN
26114981,,2014/07/25,-26.114,-49.806,MAFRA - Centro,P,5045.0,CEMADEN
26134980,,2015/03/03,-26.127,-49.7958,MAFRA - Rio da Lanca,H,5046.0,CEMADEN
26964962,,2017/09/24,-26.96298,-49.62662,JOSÉ BOITEUX - Centro,P,5528.0,CEMADEN
25174931,,2014/07/25,-25.167,-49.309,RIO BRANCO DO SUL - Rio Branco do Sul l,P,265.0,CEMADEN
25314930,,2014/07/25,-25.31,-49.298,ALMIRANTE TAMANDARÉ - Centro,P,4742.0,CEMADEN
25314931,,2014/07/25,-25.312,-49.308,ALMIRANTE TAMANDARÉ - Jardim Planalto,P,4744.0,CEMADEN
25314905,,2014/07/25,-25.311,-49.053,CAMPINA GRANDE DO SUL - Jardim da Colina,P,4849.0,CEMADEN
24824927,,2016/02/19,-24.82449,-49.26312,CERRO AZUL - CerroAzul01,P,4888.0,CEMADEN
27305057,,2015/02/23,-27.30408,-50.56729,CURITIBANOS - Cotia B1,P,4926.0,CEMADEN
27275143,,2017/09/03,-27.2771,-51.4394,ERVAL VELHO - São Sebastião,P,5537.0,CEMADEN
27055208,,2015/02/26,-27.05239,-52.08314,LINDÓIA DO SUL- Prefeitura Municipal,P,2118.0,CEMADEN
25695262,,2015/02/19,-25.6916,-52.6174,SAUDADE DO IGUAÇU- Prefeitura Municipal,P,239.0,CEMADEN
26575233,,2015/02/05,-26.565,-52.326,ABELARDO LUZ - Centro,P,949.0,CEMADEN
25985256,,2015/02/19,-25.9801,-52.5634,CORONEL VIVIDA - Prefeitura Municipal,P,4902.0,CEMADEN
25275357,,2015/02/27,-25.2686,-53.5725,LINDOESTE- Paço Municipal,P,2070.0,CEMADEN
25485361,,2014/07/25,-25.481,-53.606,CAPITÃO LEÔNIDAS MARQUES - Rua Catanduvas,P,4876.0,CEMADEN
25005346,,2015/02/23,-24.99532,-53.46367,CASCAVEL - Centro,P,4882.0,CEMADEN
25105287,,2014/07/25,-25.1,-52.866,GUARANIAÇU - Centro,P,4982.0,CEMADEN
26275268,,2014/07/25,-26.267,-52.683,PATO BRANCO - Alvorada,P,226.0,CEMADEN
26235267,,2014/07/25,-26.228,-52.673,PATO BRANCO - Centro,P,230.0,CEMADEN
26735272,,2015/02/28,-26.72645,-52.71834,QUILOMBO - Centro,P,321.0,CEMADEN
26235271,,2014/07/25,-26.234,-52.713,PATO BRANCO - São João,P,909.0,CEMADEN
26745353,,2015/02/22,-26.73799,-53.52583,SÃO MIGUEL DO OESTE - São Luiz,P,1276.0,CEMADEN
26685275,,2015/03/07,-26.68023,-52.74678,QUILOMBO - Interior,P,2123.0,CEMADEN
26405309,,2015/02/24,-26.3985,-53.0854,CAMPO ERÊ - Prefeitura Municipal,P,4855.0,CEMADEN
26265364,,2015/02/28,-26.26219,-53.63747,DIONÍSIO CERQUEIRA - Prefeitura Municipal,P,4927.0,CEMADEN
