estcodigo,@diffgr:id,@msdata:rowOrder,Altitude,Bacia,CodEstacao,CodRio,Latitude,Longitude,Municipio-UF,NomeEstacao,NomeRio,Operadora,Origem,Responsavel,StatusEstacao,SubBacia,fid,field_1
33,Table3438,3437.0,770.0,6.0,65220001.0,65100000.0,-26.0192,-50.5925,SÃO MATEUS DO SUL-PR,UHE GOV. BENTO MUNHOZ FLUVIÓPOLIS,RIO IGUAÇU,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,00028 - COPEL - Copel Geração e Transmissão S.A,Ativo,65.0,34.0,3437.0
34,Table3439,3438.0,950.0,6.0,65258000.0,65130700.0,-26.6144,-50.6761,TIMBÓ GRANDE-SC,PCH RIO TIMBÓ MONTANTE,RIO TIMBÓ,00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,Setor Elétrico,00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,Ativo,65.0,35.0,3438.0
35,Table3440,3439.0,933.0,6.0,65259000.0,65170250.0,-26.5936,-50.7283,TIMBÓ GRANDE-SC,PCH RIO TIMBÓ RIO CAÇADOR GRANDE,RIO CAÇADOR GRANDE,00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,Setor Elétrico,00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,Ativo,65.0,36.0,3439.0
36,Table3441,3440.0,895.0,6.0,65260001.0,65130700.0,-26.5875,-50.7283,TIMBÓ GRANDE-SC,PCH DERIVAÇÃO DO RIO JORDÃO FOZ DO CACHOEIRA,RIO TIMBÓ,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,00028 - COPEL - Copel Geração e Transmissão S.A,Ativo,65.0,37.0,3440.0
37,Table3442,3441.0,845.0,6.0,65270000.0,65130700.0,-26.495,-50.7875,IRINEÓPOLIS-SC,PCH RIO TIMBÓ BARRAMENTO,RIO TIMBÓ,00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,Setor Elétrico,00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,Ativo,65.0,38.0,3441.0
38,Table3443,3442.0,767.0,6.0,65271000.0,65130700.0,-26.4597,-50.8122,IRINEÓPOLIS-SC,PCH RIO TIMBÓ JUSANTE,RIO TIMBÓ,00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,Setor Elétrico,00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,Ativo,65.0,39.0,3442.0
39,Table3444,3443.0,871.0,6.0,65275000.0,65130720.0,-26.4631,-50.8883,PORTO UNIÃO-SC,CGH RIO BONITO JUSANTE,RIO BONITO,00712 - RIO BONITO - Rio Bonito Energia Ltda.,Setor Elétrico,00712 - RIO BONITO - Rio Bonito Energia Ltda.,Ativo,65.0,40.0,3443.0
40,Table3445,3444.0,792.0,6.0,65280000.0,65130720.0,-26.4406,-50.8344,PORTO UNIÃO-SC,CGH BAITACA JUSANTE,RIO BONITO,00712 - RIO BONITO - Rio Bonito Energia Ltda.,Setor Elétrico,00712 - RIO BONITO - Rio Bonito Energia Ltda.,Ativo,65.0,41.0,3444.0
41,Table3446,3445.0,911.0,6.0,65293000.0,65130730.0,-26.4472,-50.9861,PORTO UNIÃO-SC,PCH PARDOS JUSANTE,RIO DOS PARDOS,00562 - PARDOS - Hidroelétrica Pardos S.A.,Setor Elétrico,00562 - PARDOS - Hidroelétrica Pardos S.A.,Ativo,65.0,42.0,3445.0
42,Table3447,3446.0,739.0,6.0,65310001.0,65100000.0,-26.2281,-51.0803,UNIÃO DA VITÓRIA-PR,UHE GOV. BENTO MUNHOZ UNIÃO DA VITÓRIA,RIO IGUAÇU,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,00028 - COPEL - Copel Geração e Transmissão S.A,Ativo,65.0,43.0,3446.0
43,Table3448,3447.0,740.0,6.0,65365801.0,65100000.0,-26.1653,-51.2281,PORTO VITÓRIA-PR,UHE GOV. BENTO MUNHOZ R5 PORTO VITÓRIA,RIO IGUAÇU,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,00028 - COPEL - Copel Geração e Transmissão S.A,Ativo,65.0,44.0,3447.0
44,Table3449,3448.0,800.0,6.0,65370001.0,65131200.0,-26.3869,-51.2719,GENERAL CARNEIRO-PR,UHE GOV. BENTO MUNHOZ JANGADA DO SUL,RIO JANGADA,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,00028 - COPEL - Copel Geração e Transmissão S.A,Ativo,65.0,45.0,3448.0
45,Table3450,3449.0,805.0,6.0,65764001.0,65140000.0,-25.8075,-51.2886,CRUZ MACHADO-PR,UHE GOV. BENTO MUNHOZ MADEIREIRA GAVAZONI,RIO DA AREIA,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,00028 - COPEL - Copel Geração e Transmissão S.A,Ativo,65.0,46.0,3449.0
46,Table3451,3450.0,742.0,6.0,65774400.0,65100000.0,-26.0094,-51.6647,PINHÃO-PR,UHE GOV. BENTO MUNHOZ BARRAMENTO,RIO IGUAÇU,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,00028 - COPEL - Copel Geração e Transmissão S.A,Ativo,65.0,47.0,3450.0
47,Table3452,3451.0,720.0,6.0,65775901.0,65140300.0,-26.0931,-51.8797,CORONEL DOMINGOS SOARES-PR,UHE GOV. NEY AMINTHAS SOLAIS NOVO,RIO IRATIM,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,00028 - COPEL - Copel Geração e Transmissão S.A,Ativo,65.0,48.0,3451.0
48,Table3453,3452.0,607.0,6.0,65803001.0,65100000.0,-25.7883,-52.1147,MANGUEIRINHA-PR,UHE GOV. NEY AMINTHAS BARRAMENTO,RIO IGUAÇU,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,00028 - COPEL - Copel Geração e Transmissão S.A,Ativo,65.0,49.0,3452.0
49,Table3454,3453.0,967.0,6.0,65808500.0,65150090.0,-25.4431,-51.4464,GUARAPUAVA-PR,FOZ DO RIO BANANAS,RIO BANANAS,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,00052 - IAT-PR - Instituto Água e Terra do Paraná,Ativo,65.0,50.0,3453.0
50,Table3455,3454.0,1013.0,6.0,65808900.0,65141400.0,-25.3847,-51.3853,GUARAPUAVA-PR,CGH ENXADRISTA MONTANTE,RIO DAS PEDRAS,01142 - RIO DAS PEDRAS - Energética Rio das Pedras SPE Ltda.,Setor Elétrico,01142 - RIO DAS PEDRAS - Energética Rio das Pedras SPE Ltda.,Ativo,65.0,51.0,3454.0
51,Table3456,3455.0,950.0,6.0,65809000.0,65141400.0,-25.3978,-51.4358,GUARAPUAVA-PR,ETA - GUARAPUAVA,RIO DAS PEDRAS,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,00001 - ANA - Agência Nacional de Águas,Ativo,65.0,52.0,3455.0
52,Table3457,3456.0,0.0,6.0,65812000.0,65150000.0,-25.4528,-51.6358,GUARAPUAVA-PR,FOZ DO RIO COUTINHO,RIO JORDÃO,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,00052 - IAT-PR - Instituto Água e Terra do Paraná,Ativo,65.0,53.0,3456.0
53,Table3458,3457.0,898.0,6.0,65813000.0,65150000.0,-25.4675,-51.6639,GUARAPUAVA-PR,PCH TRÊS CAPÕES JUSANTE,RIO JORDÃO,00187 - INSAM - Indústrias de Madeiras Santa Maria Ltda.-INSAM,Setor Elétrico,00187 - INSAM - Indústrias de Madeiras Santa Maria Ltda.-INSAM,Ativo,65.0,54.0,3457.0
54,Table3459,3458.0,0.0,6.0,65813100.0,65150000.0,-25.4878,-51.7378,GUARAPUAVA-PR,UHE SANTA CLARA MONTANTE,RIO JORDÃO,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,Setor Elétrico,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,Ativo,65.0,55.0,3458.0
55,Table3460,3459.0,0.0,6.0,65815040.0,65150000.0,-25.5353,-51.8158,GUARAPUAVA-PR,UHE SALTO CURUCACA BARRAMENTO,RIO JORDÃO,00716 - SANTA MARIA - Santa Maria Companhia Papel e Celulose,Setor Elétrico,00716 - SANTA MARIA - Santa Maria Companhia Papel e Celulose,Ativo,65.0,56.0,3459.0
