idGrade,x,y,bacia
417,-51.7,-25.3,18
418,-51.6,-25.3,18
419,-51.5,-25.3,18
420,-51.4,-25.3,18
421,-51.3,-25.3,18
422,-51.7,-25.2,18
423,-51.6,-25.2,18
424,-53.3,-25.9,19
425,-53.2,-25.9,19
426,-52.5,-25.9,19
427,-52.4,-25.9,19
428,-52.3,-25.9,19
429,-51.9,-25.9,19
430,-53.3,-25.8,19
431,-53.2,-25.8,19
432,-52.7,-25.8,19
433,-52.6,-25.8,19
434,-52.5,-25.8,19
435,-52.4,-25.8,19
436,-52.3,-25.8,19
437,-52.2,-25.8,19
438,-52.0,-25.8,19
439,-51.9,-25.8,19
440,-51.8,-25.8,19
441,-53.3,-25.7,19
442,-53.2,-25.7,19
443,-52.8,-25.7,19
444,-52.7,-25.7,19
445,-52.6,-25.7,19
446,-52.5,-25.7,19
447,-52.4,-25.7,19
448,-52.3,-25.7,19
449,-52.2,-25.7,19
450,-52.1,-25.7,19
451,-52.0,-25.7,19
452,-51.9,-25.7,19
453,-53.3,-25.6,19
454,-53.2,-25.6,19
455,-53.0,-25.6,19
456,-52.9,-25.6,19
457,-52.8,-25.6,19
458,-52.7,-25.6,19
459,-52.6,-25.6,19
460,-52.5,-25.6,19
461,-52.4,-25.6,19
462,-52.3,-25.6,19
463,-52.2,-25.6,19
464,-52.1,-25.6,19
465,-52.0,-25.6,19
466,-53.4,-25.5,19
467,-53.3,-25.5,19
468,-53.2,-25.5,19
469,-53.1,-25.5,19
470,-53.0,-25.5,19
471,-52.9,-25.5,19
472,-52.8,-25.5,19
473,-52.7,-25.5,19
474,-52.6,-25.5,19
475,-52.5,-25.5,19
476,-52.4,-25.5,19
477,-52.3,-25.5,19
478,-52.2,-25.5,19
479,-52.1,-25.5,19
480,-52.0,-25.5,19
481,-53.4,-25.4,19
482,-53.3,-25.4,19
483,-53.2,-25.4,19
484,-53.1,-25.4,19
485,-53.0,-25.4,19
486,-52.9,-25.4,19
487,-52.8,-25.4,19
488,-52.7,-25.4,19
489,-52.6,-25.4,19
490,-52.5,-25.4,19
491,-52.4,-25.4,19
492,-52.3,-25.4,19
493,-52.2,-25.4,19
494,-52.1,-25.4,19
495,-52.0,-25.4,19
496,-51.9,-25.4,19
497,-53.3,-25.3,19
498,-53.2,-25.3,19
499,-52.7,-25.3,19
500,-52.6,-25.3,19
501,-52.5,-25.3,19
502,-52.3,-25.3,19
503,-52.2,-25.3,19
504,-52.1,-25.3,19
505,-52.0,-25.3,19
506,-51.9,-25.3,19
507,-51.8,-25.3,19
508,-53.2,-25.2,19
509,-53.1,-25.2,19
510,-52.0,-25.2,19
511,-51.9,-25.2,19
512,-51.8,-25.2,19
513,-53.2,-25.1,19
514,-53.5,-26.3,20
515,-53.6,-26.2,20
516,-53.5,-26.2,20
517,-53.4,-26.2,20
518,-53.3,-26.2,20
519,-53.6,-26.1,20
520,-53.5,-26.1,20
521,-53.4,-26.1,20
522,-53.3,-26.1,20
523,-53.6,-26.0,20
524,-53.5,-26.0,20
525,-53.4,-26.0,20
526,-53.3,-26.0,20
527,-53.6,-25.9,20
528,-53.5,-25.9,20
529,-53.4,-25.9,20
530,-53.6,-25.8,20
