fid,field_1,@diffgr:id,@msdata:rowOrder,NomeEstacao,CodEstacao,Bacia,SubBacia,Operadora,Responsavel,Municipio-UF,Latitude,Longitude,Altitude,CodRio,NomeRio,Origem,StatusEstacao
"31","3434",Table3435,"3434",PCH CAVERNOSO II SÃO BENTO,"65155001","6","65",00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,LAPA-PR,-25.9439,-49.7961,775,"65120400",RIO DA VÁRZEA,Setor Elétrico,Ativo
"32","3435",Table3436,"3435",FAZENDA MELLO,"65155500","6","65","00414 - RIGESA - Rigesa - Celulose, Papel e Embalagens Ltda.","00414 - RIGESA - Rigesa - Celulose, Papel e Embalagens Ltda.",ANTÔNIO OLINTO-PR,-25.9867,-50.0928,840,"65140450",CÓRREGO DO MELLO,RHN,Ativo
"33","3436",Table3437,"3436",PCH DERIVAÇÃO DO RIO JORDÃO DIVISA,"65175001","6","65",00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,SÃO MATEUS DO SUL-PR,-26.0914,-50.3339,770,"65120000",RIO NEGRO,Setor Elétrico,Ativo
"34","3437",Table3438,"3437",UHE GOV. BENTO MUNHOZ FLUVIÓPOLIS,"65220001","6","65",00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,SÃO MATEUS DO SUL-PR,-26.0192,-50.5925,770,"65100000",RIO IGUAÇU,Setor Elétrico,Ativo
"35","3438",Table3439,"3438",PCH RIO TIMBÓ MONTANTE,"65258000","6","65",00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,TIMBÓ GRANDE-SC,-26.6144,-50.6761,950,"65130700",RIO TIMBÓ,Setor Elétrico,Ativo
"36","3439",Table3440,"3439",PCH RIO TIMBÓ RIO CAÇADOR GRANDE,"65259000","6","65",00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,TIMBÓ GRANDE-SC,-26.5936,-50.7283,933,"65170250",RIO CAÇADOR GRANDE,Setor Elétrico,Ativo
"37","3440",Table3441,"3440",PCH DERIVAÇÃO DO RIO JORDÃO FOZ DO CACHOEIRA,"65260001","6","65",00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,TIMBÓ GRANDE-SC,-26.5875,-50.7283,895,"65130700",RIO TIMBÓ,Setor Elétrico,Ativo
"38","3441",Table3442,"3441",PCH RIO TIMBÓ BARRAMENTO,"65270000","6","65",00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,IRINEÓPOLIS-SC,-26.495,-50.7875,845,"65130700",RIO TIMBÓ,Setor Elétrico,Ativo
"39","3442",Table3443,"3442",PCH RIO TIMBÓ JUSANTE,"65271000","6","65",00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,IRINEÓPOLIS-SC,-26.4597,-50.8122,767,"65130700",RIO TIMBÓ,Setor Elétrico,Ativo
"40","3443",Table3444,"3443",CGH RIO BONITO JUSANTE,"65275000","6","65",00712 - RIO BONITO - Rio Bonito Energia Ltda.,00712 - RIO BONITO - Rio Bonito Energia Ltda.,PORTO UNIÃO-SC,-26.4631,-50.8883,871,"65130720",RIO BONITO,Setor Elétrico,Ativo
