id,estaltitude,estcodigo,estiniciooperacao,estlatitude,estlongitude,estnome,esttipo,fid,orgsigla
170,,25364907.0,2016-06-14,-25.36761,-49.074,Quatro Barras,P,171.0,Águas Paraná
172,944.26,26445084.0,2008-03-19,-26.81916,-50.98552,Caçador,M,173.0,Inmet
173,856.89,26434959.0,2008-03-22,-26.24841,-49.58062,Rio Negrinho,M,174.0,Inmet
174,799.58,26395036.0,2009-02-10,-26.39366,-50.36321,Major Vieira,M,175.0,Inmet
175,1009.01,26445135.0,2008-04-10,-26.39847,-51.35367,General Carneiro,M,176.0,Inmet
176,935.0,25494990.0,2013-04-01,-25.49067,-49.90362,Praça de Porto Amazonas,P,177.0,Caminhos do Paraná
177,0.0,25525023.0,1997-06-01,-25.87702,-50.38755,São Mateus do Sul,H,178.0,Simepar
178,749.0,26145104.0,1997-06-01,-26.22772,-51.08059,União da Vitória,H,179.0,Simepar
179,,25485173.0,2015-04-10,-25.4879,-51.73786,Fazenda Aurora,H,180.0,ELEJOR
180,1070.0,25215130.0,1997-06-01,-25.3845,-51.4935,Guarapuava,M,181.0,Simepar
182,1095.0,25335129.0,2001-01-17,-25.5459,-51.4884,Entre Rios,M,183.0,Simepar
183,909.8,25474946.0,1997-06-01,-25.7817,-49.7598,Lapa,M,184.0,Simepar
184,721.8,26075241.0,1997-06-01,-26.1229,-52.6514,Pato Branco,M,185.0,Simepar
185,851.0,25494905.0,1997-06-01,-25.8166,-49.0833,Vossoroca,H,186.0,Simepar
186,966.06,26445235.0,2008-05-15,-26.4172,-52.34874,Clevelândia,M,187.0,Inmet
187,0.0,26064948.0,1997-10-24,-26.1097,-49.80194,Rio Negro,H,188.0,Simepar
188,430.0,25485254.0,2015-09-01,-25.80612,-52.90672,Bela Vista Jusante,H,189.0,Simepar
189,652.0,26055305.0,2010-09-02,-26.0593,-53.06548,Francisco Beltrão,M,190.0,Simepar
190,1100.0,26285158.0,1998-04-28,-26.4682,-51.9762,Palmas,M,191.0,Simepar
192,298.0,25115408.0,1997-06-01,-25.3528,-54.2546,São Miguel do Iguaçu,M,193.0,Simepar
193,466.0,25465256.0,1997-06-01,-25.7737,-52.9329,Águas do Verê,H,194.0,Simepar
197,930.0,25254905.0,1998-07-10,-25.3907,-49.1299,Pinhais,M,198.0,Simepar
198,440.0,25315329.0,1998-10-24,-25.52092,-53.49412,Salto Caxias,M,199.0,Simepar
199,689.0,25755210.0,2013-01-24,-25.75922,-52.10889,Derivação do Rio Jordão,H,200.0,Simepar
201,906.0,25484918.0,2013-09-08,-25.48581,-49.18133,Comp.  C. Água Limpa,H,202.0,Águas Paraná
202,906.0,25594926.0,2013-09-08,-25.59859,-49.26004,Ponte Do Umbarazinho,H,203.0,Águas Paraná
206,,25445144.0,2014-02-03,-25.44458,-51.44681,Foz Do Rio Bananas,H,207.0,Águas Paraná
207,,25324916.0,2016-02-25,-25.3225,-49.16233,Embrapa,H,208.0,Águas Paraná
208,,25584916.0,2016-01-25,-25.77708,-49.32475,Mandirituba Copel,P,209.0,Águas Paraná
209,,25454904.0,2016-02-18,-25.45196,-49.0496,São Cristovão,P,210.0,Águas Paraná
210,,25444947.0,2016-01-26,-25.44211,-49.47309,Bom Jesus da Aldeia,P,211.0,Águas Paraná
213,,25684954.0,2016-01-25,-25.681,-49.54176,Contenda Copel,P,214.0,Águas Paraná
214,,25284923.0,2016-01-25,-25.28776,-49.23149,Colombo Copel,P,215.0,Águas Paraná
216,906.0,25544907.0,2016-01-25,-25.54619,-49.07237,Chacara Guajubi,P,217.0,Águas Paraná
217,,25505222.0,2016-10-04,-25.50973,-52.22975,Sitio Laranjal,H,218.0,PCH Cavernoso II
240,,25465053.0,2014-02-04,-25.46417,-50.53306,Eta Irati,H,241.0,Águas Paraná
241,,25395143.0,2014-02-04,-25.39914,-51.43653,Eta Guarapuava,H,242.0,Águas Paraná
243,893.0,25275035.0,1998-11-28,-25.4532,-50.5839,Fernandes Pinheiro,M,244.0,Simepar
244,897.0,25604951.0,2013-07-10,-25.60021,-49.5134,Guajuvira,H,245.0,Águas Paraná
245,897.0,25534954.0,2014-02-20,-25.53778,-49.54439,Formigas,H,246.0,Águas Paraná
246,906.0,25594922.0,2013-08-29,-25.59018,-49.22866,Cachoeira,H,247.0,Águas Paraná
247,,25444920.0,2014-07-25,-25.438,-49.199,PINHAIS - Estância Pinhais,P,248.0,CEMADEN
248,,25344925.0,2014-07-25,-25.343,-49.246,ALMIRANTE TAMANDARÉ- Jardim Graziela,P,249.0,CEMADEN
250,906.0,25664910.0,2016-06-15,-25.66264,-49.10322,Malhada,P,251.0,Águas Paraná
252,835.0,25365239.0,2016-08-07,-25.36894,-52.39194,Laranjeiras do Sul,M,253.0,Inmet
253,950.0,25324915.0,2016-05-28,-25.32246,-49.15773,Colombo,M,254.0,Inmet
257,,25384930.0,2014-12-12,-25.38,-49.295,CURITIBA - Pilarzinho,P,258.0,CEMADEN
259,897.0,25594939.0,2015-02-23,-25.595,-49.388,ARAUCÁRIA - Centro,P,260.0,CEMADEN
260,,25374931.0,2014-07-25,-25.371,-49.308,ALMIRANTE TAMANDARÉ - Jardim Tanguá,P,261.0,CEMADEN
261,,25324927.0,2015-02-05,-25.316,-49.267,ALMIRANTE TAMANDARÉ - Jardim Rosana,P,262.0,CEMADEN
262,,25264930.0,2014-07-25,-25.259,-49.301,ALMIRANTE TAMANDARÉ - Tranqueira,P,263.0,CEMADEN
263,,25314930.0,2014-07-25,-25.31,-49.298,ALMIRANTE TAMANDARÉ - Centro,P,264.0,CEMADEN
264,,25344928.0,2014-07-25,-25.344,-49.28,ALMIRANTE TAMANDARÉ - Jardim Bonfim,P,265.0,CEMADEN
265,,25314931.0,2014-07-25,-25.312,-49.308,ALMIRANTE TAMANDARÉ - Jardim Planalto,P,266.0,CEMADEN
267,,26785101.0,2016-10-06,-26.7769,-51.0094,CAÇADOR - Defesa Civil,P,268.0,CEMADEN
269,,25364911.0,2014-07-25,-25.356,-49.109,CAMPINA GRANDE DO SUL - Jardim Graciosa,P,270.0,CEMADEN
270,,25984968.0,2015-02-05,-25.9797,-49.684,CAMPO DO TENENTE - Centro,P,271.0,CEMADEN
271,,26405309.0,2015-02-24,-26.3985,-53.0854,CAMPO ERÊ - Prefeitura Municipal,P,272.0,CEMADEN
272,,25474953.0,2016-02-19,-25.46856,-49.52551,CAMPO LARGO - Vila Bancaria,P,273.0,CEMADEN
273,,25444946.0,2016-02-19,-25.43937,-49.45527,CAMPO LARGO - Ferraria,P,274.0,CEMADEN
277,,25485361.0,2014-07-25,-25.481,-53.606,CAPITÃO LEÔNIDAS MARQUES - Rua Catanduvas,P,278.0,CEMADEN
278,,25005346.0,2015-02-23,-24.99532,-53.46367,CASCAVEL - Centro,P,279.0,CEMADEN
279,,24925344.0,2015-02-23,-24.9202,-53.4352,CASCAVEL - Tarumã,P,280.0,CEMADEN
280,,25364919.0,2015-02-23,-25.3612,-49.1892,COLOMBO - Alto da Cruz,P,281.0,CEMADEN
282,,25985256.0,2015-02-19,-25.9801,-52.5634,CORONEL VIVIDA - Prefeitura Municipal,P,283.0,CEMADEN
283,,25424934.0,2014-12-12,-25.417,-49.342,CURITIBA - São Braz,P,284.0,CEMADEN
284,,25354926.0,2015-03-10,-25.3536,-49.25527,CURITIBA - Cachoeira,P,285.0,CEMADEN
285,,25444935.0,2015-02-05,-25.435,-49.35,CURITIBA - Santa Felicidade,P,286.0,CEMADEN
286,,25414936.0,2015-03-10,-25.41118,-49.36184,CURITIBA - Butiatuvinha,P,287.0,CEMADEN
287,,25414930.0,2014-12-12,-25.413,-49.301,CURITIBA - Vista Alegre,P,288.0,CEMADEN
288,,25384933.0,2014-12-14,-25.382,-49.332,CURITIBA - Santa Felicidade,P,289.0,CEMADEN
289,,25384924.0,2014-12-14,-25.379,-49.245,CURITIBA - Boa Vista,P,290.0,CEMADEN
290,,25384920.0,2015-02-05,-25.384,-49.197,CURITIBA - Atuba,P,291.0,CEMADEN
291,,25564928.0,2015-02-05,-25.555,-49.284,CURITIBA - Umbará,P,292.0,CEMADEN
292,,26265364.0,2015-02-28,-26.26219,-53.63747,DIONÍSIO CERQUEIRA - Prefeitura Municipal,P,293.0,CEMADEN
293,,25755305.0,2015-02-23,-25.74991,-53.05351,DOIS VIZINHOS - Prefeitura Municipal,P,294.0,CEMADEN
294,,25654931.0,2016-02-21,-25.64902,-49.30742,FAZENDA RIO GRANDE - Naçཞs,P,295.0,CEMADEN
295,,26045306.0,2015-02-24,-26.04632,-53.06013,FRANCISCO BELTRÃO - Pinheirinho,P,296.0,CEMADEN
296,,26075307.0,2015-02-24,-26.06924,-53.07376,FRANCISCO BELTRÃO - São Miguel,P,297.0,CEMADEN
297,,26445269.0,2015-03-02,-26.43919,-52.68857,GALVÃO - Escola Linha Santin,P,298.0,CEMADEN
298,,26455269.0,2015-02-28,-26.45139,-52.68987,GALVÃO - Esperança,P,299.0,CEMADEN
299,,25105287.0,2014-07-25,-25.1,-52.866,GUARANIAÇU - Centro,P,300.0,CEMADEN
300,,25405149.0,2015-02-25,-25.40131,-51.49242,GUARAPUAVA - Vila Bela,P,301.0,CEMADEN
301,,25365143.0,2015-02-24,-25.35533,-51.43377,GUARAPUAVA - Imovel Morro Alto,P,302.0,CEMADEN
303,,26234950.0,2014-07-25,-26.229,-49.496,RIO NEGRINHO - Industrial Norte,P,304.0,CEMADEN
304,,26094978.0,2015-02-05,-26.085,-49.781,RIO NEGRO - Bom Jesus,P,305.0,CEMADEN
305,,26114981.0,2014-07-25,-26.114,-49.806,MAFRA - Centro,P,306.0,CEMADEN
306,,26134980.0,2015-03-03,-26.127,-49.7958,MAFRA - Rio da Lanca,H,307.0,CEMADEN
307,,25885042.0,2016-02-19,-25.88059,-50.41684,SÃO MATEUS DO SUL - SaoMateus02,P,308.0,CEMADEN
308,,25535454.0,2017-10-04,-25.53406,-54.54101,FOZ DO IGUAÇU - São Miguel,P,309.0,CEMADEN
309,,26235108.0,2017-09-03,-26.236,-51.084,PORTO UNIÃO - Centro,P,310.0,CEMADEN
310,,25475458.0,2017-10-04,-25.47005,-54.58558,FOZ DO IGUAÇU - Porto Belo,P,311.0,CEMADEN
311,,25575457.0,2017-10-05,-25.57402,-54.57014,FOZ DO IGUAÇU - Vila Boa Esperança,P,312.0,CEMADEN
312,,25375212.0,2017-10-07,-25.37224,-52.12637,CANTAGALO - Centro,P,313.0,CEMADEN
