#AAA MM DD HH    Qaflu   Qdeflu
2015 09 14 09    75.58    58.58
2015 09 14 10    70.19    74.66
2015 09 14 11    66.96    76.80
2015 09 14 12    55.86    73.75
2015 09 14 13    51.50    72.08
2015 09 14 14    54.33    72.22
2015 09 14 15    57.96    72.28
2015 09 14 16    60.65    72.28
2015 09 14 17    61.54    72.28
2015 09 14 18    62.44    72.28
2015 09 14 19    62.44    72.28
2015 09 14 20    60.66    72.28
2015 09 14 21    59.77    72.29
2015 09 14 22    59.77    72.30
2015 09 14 23    58.88    72.30
2015 09 15 00    59.78    72.30
2015 09 15 01    60.60    72.23
2015 09 15 02    62.21    72.05
2015 09 15 03    61.99    71.83
2015 09 15 04    59.97    71.60
2015 09 15 05    60.70    71.43
2015 09 15 06    58.88    71.40
2015 09 15 07    57.97    71.39
2015 09 15 08    54.40    71.39
2015 09 15 09    66.93    71.40
2015 09 15 10    66.91    71.39
2015 09 15 11    65.13    71.39
2015 09 15 12    67.80    71.38
2015 09 15 13    50.81    71.39
2015 09 15 14    49.93    71.40
2015 09 15 15    53.00    71.79
2015 09 15 16    53.63    72.42
2015 09 15 17    56.94    73.04
2015 09 15 18    56.16    74.05
2015 09 15 19    55.52    75.20
2015 09 15 20    55.99    76.56
2015 09 15 21    54.64    77.90
2015 09 15 22    53.84    78.88
2015 09 15 23    53.39    79.33
2015 09 16 00    54.29    79.34
2015 09 16 01    55.22    79.37
2015 09 16 02    57.01    79.38
2015 09 16 03    56.11    79.37
2015 09 16 04    55.23    79.38
2015 09 16 05    55.22    79.37
2015 09 16 06    55.22    79.37
2015 09 16 07    55.26    79.41
2015 09 16 08    63.35    79.45
2015 09 16 09    65.20    79.52
2015 09 16 10    63.49    79.59
2015 09 16 11    61.57    79.46
2015 09 16 12    53.42    79.37
2015 09 16 13    50.75    79.37
2015 09 16 14    48.09    79.40
2015 09 16 15    49.19    79.60
2015 09 16 16    49.34    79.76
2015 09 16 17    50.26    79.78
2015 09 16 18    52.05    79.78
2015 09 16 19    52.75    79.59
2015 09 16 20    51.24    78.96
2015 09 16 21    49.74    78.37
2015 09 16 22    50.94    77.77
2015 09 16 23    51.41    77.35
2015 09 17 00    52.79    76.05
2015 09 17 01    52.12    71.80
2015 09 17 02    51.44    67.54
2015 09 17 03    54.33    63.28
2015 09 17 04    53.20    60.36
2015 09 17 05    52.32    60.37
2015 09 17 06    54.12    60.38
2015 09 17 07    51.97    60.91
2015 09 17 08    62.18    66.65
2015 09 17 09    64.92    72.08
2015 09 17 10    63.04    77.35
2015 09 17 11    57.59    81.74
2015 09 17 12    49.58    80.89
2015 09 17 13    47.24    80.34
2015 09 17 14    48.62    79.93
2015 09 17 15    51.28    79.91
2015 09 17 16    46.79    79.89
2015 09 17 17    51.26    79.88
2015 09 17 18    49.48    79.89
2015 09 17 19    47.69    79.89
2015 09 17 20    48.60    79.91
2015 09 17 21    45.92    79.91
2015 09 17 22    47.74    79.94
2015 09 17 23    50.43    79.95
2015 09 18 00    50.93    79.56
2015 09 18 01    49.00    74.05
2015 09 18 02    47.47    67.15
2015 09 18 03    46.35    50.83
2015 09 18 04    49.18    33.08
2015 09 18 05    51.74    20.43
2015 09 18 06    52.10     9.16
2015 09 18 07    53.84     7.32
2015 09 18 08    56.51    11.78
2015 09 18 09    57.86    27.44
2015 09 18 10    52.05    43.11
2015 09 18 11    44.46    58.77
2015 09 18 12    29.71    69.97
2015 09 18 13    27.05    69.99
2015 09 18 14    32.44    70.01
2015 09 18 15    31.57    70.03
2015 09 18 16    39.45    69.87
2015 09 18 17    37.18    69.38
2015 09 18 18    36.69    68.89
2015 09 18 19    44.25    68.40
2015 09 18 20    39.95    67.68
2015 09 18 21    35.88    67.19
2015 09 18 22    32.72    66.71
2015 09 18 23    33.14    66.23
2015 09 19 00    39.10    66.82
2015 09 19 01    42.09    68.03
2015 09 19 02    42.58    66.73
2015 09 19 03    41.37    62.83
2015 09 19 04    42.04    58.14
2015 09 19 05    30.37    52.73
2015 09 19 06    46.16    49.74
2015 09 19 07    44.88    49.35
2015 09 19 08    50.00    49.11
2015 09 19 09    66.95    49.06
2015 09 19 10    46.41    49.09
2015 09 19 11    45.57    49.15
2015 09 19 12    37.57    49.20
2015 09 19 13    38.51    49.24
2015 09 19 14    46.59    49.27
2015 09 19 15    43.90    49.27
2015 09 19 16    43.90    49.27
2015 09 19 17    41.22    49.27
2015 09 19 18    39.34    50.07
2015 09 19 19    40.24    51.87
2015 09 19 20    37.66    54.65
2015 09 19 21    31.43    58.27
2015 09 19 22    34.59    61.42
2015 09 19 23    39.58    63.73
2015 09 20 00    47.91    64.91
2015 09 20 01    44.87    51.14
2015 09 20 02    42.06    36.69
2015 09 20 03    39.10    22.10
2015 09 20 04    33.60     7.66
2015 09 20 05    32.38     7.34
2015 09 20 06    47.59     7.34
2015 09 20 07    50.28     7.34
2015 09 20 08    57.44     7.35
2015 09 20 09    66.03    15.94
2015 09 20 10    51.45    26.41
2015 09 20 11    50.27    36.85
2015 09 20 12    37.47    47.31
2015 09 20 13    36.65    49.18
2015 09 20 14    35.74    49.16
2015 09 20 15    33.97    49.17
2015 09 20 16    41.12    49.18
2015 09 20 17    40.22    49.17
2015 09 20 18    38.45    49.18
2015 09 20 19    42.03    49.19
2015 09 20 20    40.23    49.17
2015 09 20 21    41.13    49.18
2015 09 20 22    39.34    49.18
2015 09 20 23    36.65    49.17
2015 09 21 00    35.77    49.18
2015 09 21 01    36.66    49.18
2015 09 21 02    40.24    49.18
2015 09 21 03    41.14    49.19
2015 09 21 04    42.04    49.19
2015 09 21 05    40.26    49.20
2015 09 21 06    40.20    49.14
2015 09 21 07    40.73    49.67
2015 09 21 08    50.35    50.35
2015 09 21 09    52.97    51.19
2015 09 21 10    50.30    52.09
2015 09 21 11    48.82    52.40
2015 09 21 12    37.37    52.58
2015 09 21 13    35.70    52.70
2015 09 21 14    36.11    54.00
2015 09 21 15    38.76    60.23
2015 09 21 16    41.38    66.42
2015 09 21 17    38.53    72.52
2015 09 21 18    38.09    77.44
2015 09 21 19    37.08    77.33
2015 09 21 20    38.77    77.23
2015 09 21 21    40.43    77.10
2015 09 21 22    41.21    76.99
2015 09 21 23    39.42    76.99
2015 09 22 00    39.06    77.52
2015 09 22 01    42.11    78.78
2015 09 22 02    46.04    80.03
2015 09 22 03    49.94    81.25
2015 09 22 04    52.42    81.94
2015 09 22 05    54.18    81.91
2015 09 22 06    56.83    81.87
2015 09 22 07    55.92    81.86
2015 09 22 08    63.96    81.85
2015 09 22 09    63.66    81.55
2015 09 22 10    59.13    80.60
2015 09 22 11    54.69    79.73
2015 09 22 12    37.71    78.85
2015 09 22 13    34.82    77.76
2015 09 22 14    35.28    77.32
2015 09 22 15    35.67    76.82
2015 09 22 16    40.54    76.32
2015 09 22 17    39.65    76.32
2015 09 22 18    38.76    76.33
2015 09 22 19    40.41    76.19
2015 09 22 20    41.61    75.60
2015 09 22 21    40.54    74.53
2015 09 22 22    40.36    73.46
2015 09 22 23    42.09    72.51
2015 09 23 00    40.71    72.02
2015 09 23 01    41.61    72.02
2015 09 23 02    42.49    72.01
2015 09 23 03    39.82    72.02
2015 09 23 04    42.51    72.03
2015 09 23 05    43.40    72.03
2015 09 23 06    40.25    71.55
2015 09 23 07    44.15    70.99
2015 09 23 08    51.64    70.43
2015 09 23 09    52.87    69.87
2015 09 23 10    55.47    69.79
2015 09 23 11    50.11    69.78
2015 09 23 12    34.89    69.78
2015 09 23 13    34.00    69.78
2015 09 23 14    33.11    69.78
2015 09 23 15    35.73    69.72
2015 09 23 16    38.43    69.74
2015 09 23 17    35.75    69.74
2015 09 23 18    35.76    69.76
2015 09 23 19    34.95    69.84
2015 09 23 20    37.65    69.85
2015 09 23 21    39.44    69.85
2015 09 23 22    38.56    69.86
2015 09 23 23    39.45    69.87
2015 09 24 00    37.66    69.87
2015 09 24 01    38.57    69.88
2015 09 24 02    40.35    69.87
2015 09 24 03    40.35    69.87
2015 09 24 04    42.14    69.87
2015 09 24 05    41.26    69.88
2015 09 24 06    40.36    69.88
2015 09 24 07    39.45    69.87
2015 09 24 08    41.22    69.85
2015 09 24 09    43.88    69.83
2015 09 24 10    47.45    69.82
2015 09 24 11    46.56    69.81
2015 09 24 12    41.20    69.82
