#AAA MM DD HH    Qaflu   Qdeflu
2015 09 03 18   165.53   165.30
2015 09 03 19   165.58   165.35
2015 09 03 20   165.61   165.38
2015 09 03 21   166.21   165.51
2015 09 03 22   166.72   165.79
2015 09 03 23   166.76   166.06
2015 09 04 00   166.98   166.28
2015 09 04 01   166.36   166.36
2015 09 04 02   165.99   166.23
2015 09 04 03   166.10   166.10
2015 09 04 04   165.82   166.05
2015 09 04 05   165.77   166.01
2015 09 04 06   166.00   166.00
2015 09 04 07   165.82   166.05
2015 09 04 08   165.84   166.07
2015 09 04 09   166.09   166.09
2015 09 04 10   165.86   166.09
2015 09 04 11   165.77   166.01
2015 09 04 12   165.90   165.90
2015 09 04 13   166.41   165.94
2015 09 04 14   167.12   166.18
2015 09 04 15   167.97   166.57
2015 09 04 16   168.70   167.07
2015 09 04 17   168.73   167.56
2015 09 04 18   168.59   167.89
2015 09 04 19   168.83   168.13
2015 09 04 20   168.78   168.32
2015 09 04 21   168.92   168.46
2015 09 04 22   169.06   168.60
2015 09 04 23   168.39   168.62
2015 09 05 00   168.58   168.58
2015 09 05 01   168.58   168.58
2015 09 05 02   168.58   168.58
2015 09 05 03   168.90   168.67
2015 09 05 04   168.62   168.86
2015 09 05 05   168.64   169.11
2015 09 05 06   168.82   169.52
2015 09 05 07   168.57   169.98
2015 09 05 08   168.42   170.29
2015 09 05 09   167.46   170.27
2015 09 05 10   166.45   169.73
2015 09 05 11   165.82   168.86
2015 09 05 12   165.40   167.98
2015 09 05 13   165.63   167.26
2015 09 05 14   166.16   166.87
2015 09 05 15   166.01   166.71
2015 09 05 16   165.93   166.63
2015 09 05 17   166.09   166.56
2015 09 05 18   165.87   166.57
2015 09 05 19   164.86   166.50
2015 09 05 20   163.77   166.11
2015 09 05 21   163.23   165.57
2015 09 05 22   162.92   165.02
2015 09 05 23   163.90   164.60
2015 09 06 00   165.00   164.53
2015 09 06 01   165.37   164.67
2015 09 06 02   165.54   164.83
2015 09 06 03   165.70   165.00
2015 09 06 04   165.36   165.12
2015 09 06 05   165.57   165.34
2015 09 06 06   165.37   165.60
2015 09 06 07   165.38   165.85
2015 09 06 08   165.72   166.18
2015 09 06 09   165.36   166.53
2015 09 06 10   165.32   166.72
2015 09 06 11   165.55   166.72
2015 09 06 12   165.61   166.55
2015 09 06 13   165.98   166.21
2015 09 06 14   166.14   165.90
2015 09 06 15   165.87   165.63
2015 09 06 16   165.91   165.44
2015 09 06 17   166.37   165.43
2015 09 06 18   167.26   165.62
2015 09 06 19   168.42   166.08
2015 09 06 20   169.01   166.67
2015 09 06 21   169.29   167.19
2015 09 06 22   169.27   167.63
2015 09 06 23   168.94   168.00
2015 09 07 00   169.03   168.33
2015 09 07 01   169.17   168.70
2015 09 07 02   169.08   169.08
2015 09 07 03   169.43   169.43
2015 09 07 04   168.46   169.63
2015 09 07 05   167.41   169.51
2015 09 07 06   166.30   169.11
2015 09 07 07   164.99   168.50
2015 09 07 08   165.08   167.88
2015 09 07 09   164.90   167.47
2015 09 07 10   165.06   167.16
2015 09 07 11   165.21   166.85
2015 09 07 12   165.59   166.53
2015 09 07 13   165.45   166.15
2015 09 07 14   165.79   165.79
2015 09 07 15   165.88   165.64
2015 09 07 16   165.37   165.60
2015 09 07 17   165.45   165.45
2015 09 07 18   165.20   165.20
2015 09 07 19   165.42   164.95
2015 09 07 20   166.74   164.87
2015 09 07 21   167.60   165.03
2015 09 07 22   168.25   165.44
2015 09 07 23   169.86   166.11
2015 09 08 00   173.02   167.17
2015 09 08 01   173.43   168.52
2015 09 08 02   175.00   169.86
2015 09 08 03   175.80   171.12
2015 09 08 04   173.37   171.96
2015 09 08 05   173.85   172.45
2015 09 08 06   173.81   172.88
2015 09 08 07   174.95   173.31
2015 09 08 08   177.48   174.20
2015 09 08 09   181.21   175.82
2015 09 08 10   184.55   178.00
2015 09 08 11   186.64   180.32
2015 09 08 12   186.50   182.28
2015 09 08 13   185.80   183.46
2015 09 08 14   185.42   184.02
2015 09 08 15   183.45   184.15
2015 09 08 16   184.17   183.94
2015 09 08 17   184.53   183.83
2015 09 08 18   184.54   183.84
2015 09 08 19   185.56   183.92
2015 09 08 20   185.50   184.10
2015 09 08 21   185.12   184.19
2015 09 08 22   184.52   184.05
2015 09 08 23   183.72   183.72
2015 09 09 00   182.80   183.27
2015 09 09 01   182.28   182.75
2015 09 09 02   181.04   182.21
2015 09 09 03   179.72   181.59
2015 09 09 04   178.31   180.88
2015 09 09 05   176.87   180.14
2015 09 09 06   175.82   179.33
2015 09 09 07   175.24   178.51
2015 09 09 08   173.15   177.36
2015 09 09 09   155.00   173.48
2015 09 09 10   137.77   166.08
2015 09 09 11   120.16   156.89
2015 09 09 12   103.98   146.97
2015 09 09 13   103.89   139.50
2015 09 09 14   103.34   135.55
2015 09 09 15   102.94   133.39
2015 09 09 16   113.72   132.36
2015 09 09 17   129.27   131.80
2015 09 09 18   145.35   131.54
2015 09 09 19   161.44   131.69
2015 09 09 20   167.14   132.88
2015 09 09 21   167.82   135.29
2015 09 09 22   168.19   139.02
2015 09 09 23   168.43   143.86
2015 09 10 00   166.42   148.64
2015 09 10 01   164.19   152.49
2015 09 10 02   162.21   155.19
2015 09 10 03   160.38   156.87
2015 09 10 04   160.36   158.02
2015 09 10 05   160.67   159.03
2015 09 10 06   160.32   159.85
2015 09 10 07   160.12   160.35
2015 09 10 08   159.69   160.39
2015 09 10 09   143.98   158.25
2015 09 10 10   128.82   153.16
2015 09 10 11   114.01   146.52
2015 09 10 12    99.08   139.41
2015 09 10 13    99.49   134.07
2015 09 10 14    99.48   131.37
2015 09 10 15    99.21   130.05
2015 09 10 16    99.06   129.21
2015 09 10 17    99.40   128.40
2015 09 10 18   103.13   127.76
2015 09 10 19   121.27   127.48
2015 09 10 20   138.94   127.66
2015 09 10 21   157.06   128.29
2015 09 10 22   171.65   129.30
2015 09 10 23   171.79   130.54
2015 09 11 00   172.04   132.49
2015 09 11 01   171.93   135.71
2015 09 11 02   171.53   140.28
2015 09 11 03   171.85   145.89
2015 09 11 04   172.06   151.71
2015 09 11 05   172.43   156.99
2015 09 11 06   171.68   161.15
2015 09 11 07   171.74   164.25
2015 09 11 08   172.14   166.53
2015 09 11 09   171.80   168.05
2015 09 11 10   172.07   169.03
2015 09 11 11   171.56   169.68
2015 09 11 12   171.43   170.03
2015 09 11 13   170.31   170.07
2015 09 11 14   170.74   170.04
2015 09 11 15   170.48   170.01
2015 09 11 16   170.39   169.92
2015 09 11 17   170.59   169.88
2015 09 11 18   170.35   169.89
2015 09 11 19   169.76   169.76
2015 09 11 20   169.29   169.53
2015 09 11 21   169.56   169.33
2015 09 11 22   169.68   169.21
2015 09 11 23   170.16   169.22
2015 09 12 00   169.98   169.28
2015 09 12 01   169.47   169.24
2015 09 12 02   169.15   169.15
2015 09 12 03   168.89   169.13
2015 09 12 04   165.18   168.69
2015 09 12 05   161.09   167.41
2015 09 12 06   155.71   165.30
2015 09 12 07   151.81   162.57
2015 09 12 08   151.38   160.04
2015 09 12 09   166.28   160.19
2015 09 12 10   172.33   162.97
2015 09 12 11   176.90   166.14
2015 09 12 12   181.99   169.59
2015 09 12 13   172.29   171.35
2015 09 12 14   172.50   171.33
2015 09 12 15   172.39   171.45
2015 09 12 16   170.59   171.28
2015 09 12 17   170.13   170.83
2015 09 12 18   169.72   170.42
2015 09 12 19   169.59   170.06
2015 09 12 20   171.16   169.99
2015 09 12 21   171.33   170.16
2015 09 12 22   171.26   170.32
2015 09 12 23   171.18   170.47
2015 09 13 00   163.60   169.45
2015 09 13 01   168.44   168.44
2015 09 13 02   153.43   166.53
2015 09 13 03   142.78   161.73
2015 09 13 04   137.95   156.67
2015 09 13 05   113.51   150.00
2015 09 13 06   110.18   142.86
2015 09 13 07   102.29   138.33
2015 09 13 08    95.65   135.04
2015 09 13 09    98.43   133.26
2015 09 13 10    91.52   132.72
2015 09 13 11    85.00   132.17
2015 09 13 12    83.66   131.53
2015 09 13 13    84.23   130.72
2015 09 13 14    93.24   129.83
2015 09 13 15   103.98   129.07
2015 09 13 16   108.94   128.50
2015 09 13 17   110.20   128.15
2015 09 13 18   121.95   128.17
2015 09 13 19   132.70   128.55
2015 09 13 20   146.18   129.15
2015 09 13 21   159.56   129.88
2015 09 13 22   162.62   130.64
2015 09 13 23   165.09   131.26
2015 09 14 00   165.68   131.85
2015 09 14 01   165.94   132.57
2015 09 14 02   165.87   133.42
2015 09 14 03   166.19   134.43
2015 09 14 04   137.58   135.28
2015 09 14 05   102.40   135.54
2015 09 14 06    66.90   135.02
2015 09 14 07    30.44   133.77
2015 09 14 08    56.26   132.43
2015 09 14 09    62.39   131.21
2015 09 14 10    92.06   130.04
2015 09 14 11   110.62   129.26
2015 09 14 12    95.90   128.35
2015 09 14 13   107.14   127.39
2015 09 14 14    95.74   126.58
2015 09 14 15    95.73   125.65
2015 09 14 16    95.51   124.74
2015 09 14 17    95.55   123.86
2015 09 14 18    95.40   123.02
2015 09 14 19    95.24   122.17
2015 09 14 20    95.09   121.33
2015 09 14 21    94.98   120.53
2015 09 14 22    95.18   119.81
2015 09 14 23    95.25   119.19
2015 09 15 00    95.15   118.62
2015 09 15 01    95.55   118.11
2015 09 15 02    95.55   117.79
2015 09 15 03    95.52   117.68
2015 09 15 04    95.84   117.68
2015 09 15 05    95.60   117.82
2015 09 15 06    95.53   117.97
2015 09 15 07    95.39   118.06
2015 09 15 08    95.21   118.11
2015 09 15 09    95.35   118.01
2015 09 15 10    95.65   117.64
2015 09 15 11    95.81   117.12
2015 09 15 12    95.90   116.53
2015 09 15 13    95.81   115.76
2015 09 15 14    95.86   114.90
2015 09 15 15    95.40   113.99
2015 09 15 16    95.52   112.97
2015 09 15 17    95.19   111.97
2015 09 15 18    94.36   110.90
2015 09 15 19    94.53   109.72
2015 09 15 20    93.82   108.56
2015 09 15 21    93.57   107.40
2015 09 15 22    93.81   106.27
2015 09 15 23    93.67   105.23
2015 09 16 00    93.55   104.21
2015 09 16 01    93.97   103.27
2015 09 16 02    93.60   102.45
2015 09 16 03    93.83   101.77
2015 09 16 04    93.65   101.36
2015 09 16 05    93.33   101.26
2015 09 16 06    93.23   101.39
2015 09 16 07    92.57   101.64
2015 09 16 08    92.58   101.87
2015 09 16 09    92.51   101.80
2015 09 16 10    92.67   101.29
2015 09 16 11    92.39   100.55
2015 09 16 12    92.83    99.63
2015 09 16 13    92.96    98.62
2015 09 16 14    92.60    97.81
2015 09 16 15    93.31    97.17
2015 09 16 16    92.95    96.58
2015 09 16 17    93.04    96.21
2015 09 16 18    93.12    96.07
2015 09 16 19    93.20    95.92
2015 09 16 20    93.05    95.77
2015 09 16 21    92.70    95.65
2015 09 16 22    92.79    95.51
2015 09 16 23    92.49    95.44
2015 09 17 00    92.57    95.52
2015 09 17 01    92.60    95.77
2015 09 17 02    92.62    96.25
2015 09 17 03    92.74    97.05
2015 09 17 04    92.66    98.10
2015 09 17 05    92.73    99.30
2015 09 17 06    92.84   100.55
2015 09 17 07    92.21   101.73
2015 09 17 08    92.38   102.58
2015 09 17 09    92.91   102.89
2015 09 17 10    92.32   102.75
2015 09 17 11    92.56   102.31
2015 09 17 12    92.83   101.67
2015 09 17 13    91.51   101.03
2015 09 17 14    92.23   100.39
2015 09 17 15    93.05    99.62
2015 09 17 16    92.27    98.85
2015 09 17 17    92.93    98.14
2015 09 17 18    93.17    97.47
2015 09 17 19    93.00    96.85
2015 09 17 20    92.96    96.35
2015 09 17 21    93.14    95.86
2015 09 17 22    92.81    95.30
2015 09 17 23    92.71    94.75
2015 09 18 00    92.52    94.10
2015 09 18 01    92.84    93.52
2015 09 18 02    92.84    93.29
2015 09 18 03    86.71    93.51
2015 09 18 04    79.89    93.94
2015 09 18 05    73.13    94.44
2015 09 18 06    66.30    94.86
2015 09 18 07    64.66    95.03
2015 09 18 08    65.20    95.12
2015 09 18 09    64.79    95.16
2015 09 18 10    64.80    94.67
2015 09 18 11    66.80    93.65
2015 09 18 12    71.95    92.42
2015 09 18 13    77.81    91.26
2015 09 18 14    83.59    90.28
2015 09 18 15    87.80    89.59
2015 09 18 16    88.36    89.03
2015 09 18 17    88.58    88.35
2015 09 18 18    87.65    87.87
2015 09 18 19    88.07    87.62
2015 09 18 20    88.31    87.20
2015 09 18 21    88.46    86.68
2015 09 18 22    89.36    86.23
2015 09 18 23    89.05    85.70
2015 09 19 00    89.77    85.31
2015 09 19 01    89.40    85.38
2015 09 19 02    86.27    85.82
2015 09 19 03    81.59    86.50
2015 09 19 04    75.23    87.29
2015 09 19 05    69.66    87.96
2015 09 19 06    66.46    88.33
2015 09 19 07    65.75    88.51
2015 09 19 08    69.83    88.80
2015 09 19 09    74.22    89.18
