Consulta dos dados diários reservatório para GBM de 01/01/2020 até 18/06/2021

                                                Vazões (m3/s)
Dia           Mont     Vol.Útil  Afluente  Vertida Turbinada  Defluente    Transf          MW

22/09/2020    717,10     31,17    141,63    0,00     544,98      544,98      0,00        543,50
23/09/2020    716,63     30,17    144,67    0,00     584,59      584,59      0,00        580,83
24/09/2020    716,13     29,11    126,59    0,00     595,34      595,34      0,00        587,00
25/09/2020    715,63     28,04    138,41    0,00     607,54      607,54      0,00        596,04
26/09/2020    715,10     26,92    108,97    0,00     602,49      602,49      0,00        587,92
27/09/2020    714,88     26,47    131,49    0,00     331,92      331,92      0,00        322,21
28/09/2020    714,29     25,24    158,27    0,00     696,83      696,83      0,00        678,58
29/09/2020    713,75     24,14    150,60    0,00     636,74      636,74      0,00        618,96
30/09/2020    713,19     23,01    143,99    0,00     641,28      641,28      0,00        626,63
01/10/2020    712,60     21,83    133,00    0,00     651,34      651,34      0,00        641,63
02/10/2020    711,89     20,44    152,92    0,00     764,59      764,59      0,00        733,83
03/10/2020    711,29     19,31    184,92    0,00     685,75      685,75      0,00        653,25
04/10/2020    711,15     19,05    200,28    0,00     313,61      313,61      0,00        295,58
05/10/2020    710,62     18,06    185,48    0,00     622,80      622,80      0,00        588,54
06/10/2020    710,00     16,89    151,08    0,00     665,46      665,46      0,00        623,83
07/10/2020    709,40     15,81    158,64    0,00     632,22      632,22      0,00        589,21
08/10/2020    709,01     15,10    200,57    0,00     512,82      512,82      0,00        478,58
09/10/2020    708,61     14,37    202,70    0,00     524,76      524,76      0,00        488,58
10/10/2020    708,52     14,23    223,96    0,00     287,72      287,72      0,00        266,63
11/10/2020    708,62     14,39    206,86    0,00     135,24      135,24      0,00        126,13
12/10/2020    708,64     14,44    222,71    0,00     199,10      199,10      0,00        185,38
13/10/2020    708,14     13,54    209,95    0,00     608,19      608,19      0,00        561,79
14/10/2020    707,41     12,26    220,96    0,00     785,56      785,56      0,00        722,75
15/10/2020    706,85     11,27    228,84    0,00     663,69      663,69      0,00        606,04
16/10/2020    706,37     10,44    197,77    0,00     562,14      562,14      0,00        511,21
17/10/2020    706,41     10,50    209,42    0,00     183,45      183,45      0,00        165,96
18/10/2020    706,52     10,70    181,07    0,00      94,75       94,75      0,00         86,25
19/10/2020    705,98      9,76    145,22    0,00     559,75      559,75      0,00        506,50
20/10/2020    705,66      9,21    159,97    0,00     399,96      399,96      0,00        359,21
21/10/2020    704,98      8,05    121,37    0,00     634,17      634,17      0,00        564,79
22/10/2020    704,35      6,99    110,88    0,00     574,58      574,58      0,00        511,21
23/10/2020    703,69      5,90    107,90    0,00     590,28      590,28      0,00        521,29
24/10/2020    703,62      5,77    117,48    0,00     174,35      174,35      0,00        151,46
25/10/2020    703,72      5,93    121,61    0,00      49,42       49,42      0,00         44,17
26/10/2020    703,34      5,31     91,48    0,00     364,92      364,92      0,00        321,33
27/10/2020    702,91      4,60    104,18    0,00     418,46      418,46      0,00        366,50
28/10/2020    702,50      3,95     79,57    0,00     366,92      366,92      0,00        320,33
29/10/2020    702,15      3,39     97,86    0,00     343,56      343,56      0,00        299,42
30/10/2020    701,98      3,11    116,32    0,00     236,82      236,82      0,00        205,33
31/10/2020    702,12      3,34    117,88    0,00      19,98       19,98      0,00         17,00
01/11/2020    702,28      3,60    114,38    0,00       0,00        0,00      0,00          0,00
02/11/2020    702,44      3,85    113,67    0,00       0,00        0,00      0,00          0,00
03/11/2020    702,45      3,87    116,27    0,00     108,50      108,50      0,00         93,08
04/11/2020    702,47      3,89    110,56    0,00     100,68      100,68      0,00         85,58
05/11/2020    702,49      3,93    128,38    0,00     114,96      114,96      0,00        100,13
06/11/2020    702,54      4,01    145,76    0,00     110,45      110,45      0,00         94,38
07/11/2020    702,67      4,22    112,74    0,00      17,42       17,42      0,00         15,00
08/11/2020    702,85      4,51    127,79    0,00       0,00        0,00      0,00          0,00
09/11/2020    702,66      4,20    103,76    0,00     242,14      242,14      0,00        211,33
10/11/2020    702,47      3,90    113,34    0,00     244,66      244,66      0,00        213,92
11/11/2020    702,35      3,70    123,20    0,00     209,34      209,34      0,00        183,38
12/11/2020    702,10      3,31    121,18    0,00     294,86      294,86      0,00        256,58
13/11/2020    701,83      2,88    143,41    0,00     332,09      332,09      0,00        287,75
14/11/2020    702,03      3,20    148,60    0,00       7,93        7,93      0,00          6,33
15/11/2020    702,31      3,65    196,27    0,00       0,00        0,00      0,00          0,00
16/11/2020    702,19      3,45    234,56    0,00     322,82      322,82      0,00        281,42
17/11/2020    702,08      3,27    233,96    0,00     310,21      310,21      0,00        268,08
18/11/2020    702,30      3,63    247,42    0,00      90,68       90,68      0,00         77,88
19/11/2020    702,47      3,89    233,66    0,00     117,17      117,17      0,00        101,29
20/11/2020    702,65      4,20    241,10    0,00     107,66      107,66      0,00         93,46
21/11/2020    702,97      4,70    223,10    0,00       0,00        0,00      0,00          0,00
22/11/2020    703,29      5,22    229,02    0,00       0,00        0,00      0,00          0,00
23/11/2020    703,61      5,75    234,06    0,00       0,00        0,00      0,00          0,00
24/11/2020    703,49      5,56    211,88    0,00     299,38      299,38      0,00        263,50
25/11/2020    702,83      4,47    203,60    0,00     679,43      679,43      0,00        598,04
26/11/2020    702,15      3,39    184,69    0,00     663,36      663,36      0,00        578,33
27/11/2020    701,62      2,55    208,00    0,00     496,76      496,76      0,00        497,46
28/11/2020    701,96      3,08    231,25    0,00       0,00        0,00      0,00          0,00
29/11/2020    702,39      3,78    308,02    0,00       0,00        0,00      0,00          0,00
30/11/2020    702,05      3,22    351,31    0,00     594,88      594,88      0,00        516,83
01/12/2020    701,82      2,86    318,23    0,00     479,21      479,21      0,00        414,33
02/12/2020    701,72      2,70    341,51    0,00     410,26      410,26      0,00        355,00
03/12/2020    701,88      2,96    538,33    0,00     424,44      424,44      0,00        364,96
04/12/2020    702,32      3,66    529,44    0,00     222,99      222,99      0,00        193,63
05/12/2020    703,54      5,65    876,71    0,00       0,00        0,00      0,00          0,00
06/12/2020    705,07      8,21   1128,11    0,00       0,00        0,00      0,00          0,00
07/12/2020    706,18     10,10   1025,46    0,00     190,58      190,58      0,00        170,83
08/12/2020    707,21     11,89    998,98    0,00     210,55      210,55      0,00        190,54
09/12/2020    707,91     13,13    943,28    0,00     398,13      398,13      0,00        366,54
10/12/2020    708,57     14,31    940,95    0,00     424,12      424,12      0,00        392,21
11/12/2020    709,20     15,44    912,02    0,00     413,10      413,10      0,00        386,42
12/12/2020    710,26     17,39    868,17    0,00      10,71       10,71      0,00          9,88
13/12/2020    711,28     19,29    836,49    0,00       0,00        0,00      0,00          0,00
14/12/2020    711,82     20,32    805,83    0,00     351,66      351,66      0,00        342,42
15/12/2020    712,22     21,09    718,93    0,00     379,56      379,56      0,00        371,54
16/12/2020    712,60     21,84    735,67    0,00     406,67      406,67      0,00        394,17
