#AAA MM DD HH    Qaflu   Qdeflu
2015 01 26 06    63.40   144.89
2015 01 26 07    66.29   145.64
2015 01 26 08    64.90   146.39
2015 01 26 09    67.92   147.26
2015 01 26 10    67.66   148.08
2015 01 26 11    68.88   148.22
2015 01 26 12    65.67   148.23
2015 01 26 13    63.46   148.17
2015 01 26 14    67.65   148.07
2015 01 26 15    59.17   148.16
2015 01 26 16    67.83   148.25
2015 01 26 17    60.48   148.40
2015 01 26 18    63.83   148.54
2015 01 26 19    69.12   148.47
2015 01 26 20    62.75   148.53
2015 01 26 21    69.15   148.49
2015 01 26 22    59.44   148.44
2015 01 26 23    59.57   148.56
2015 01 27 00    54.10   148.46
2015 01 27 01    60.50   148.43
2015 01 27 02    60.44   148.37
2015 01 27 03    60.30   148.22
2015 01 27 04    61.28   148.13
2015 01 27 05    58.06   148.13
2015 01 27 06    59.18   148.17
2015 01 27 07    57.26   148.40
2015 01 27 08    62.67   148.45
2015 01 27 09    57.31   148.44
2015 01 27 10    62.59   148.37
2015 01 27 11    61.32   148.17
2015 01 27 12    62.46   148.24
2015 01 27 13    62.49   148.27
2015 01 27 14    58.31   148.38
2015 01 27 15    63.98   148.68
2015 01 27 16    60.25   149.25
2015 01 27 17    65.82   149.45
2015 01 27 18    63.43   149.21
2015 01 27 19    56.51   148.72
2015 01 27 20    59.91   147.83
2015 01 27 21    56.09   147.23
2015 01 27 22    63.33   146.96
2015 01 27 23    64.16   146.73
2015 01 28 00    59.58   146.43
2015 01 28 01    57.21   146.20
2015 01 28 02    52.77   146.06
2015 01 28 03    56.97   145.97
2015 01 28 04    55.96   146.02
2015 01 28 05    62.44   146.08
2015 01 28 06    58.25   146.18
2015 01 28 07    59.38   146.23
2015 01 28 08    57.32   146.31
2015 01 28 09    58.43   146.36
2015 01 28 10    58.45   146.37
2015 01 28 11    55.25   146.39
2015 01 28 12    62.69   146.32
2015 01 28 13    56.27   146.34
2015 01 28 14    61.61   146.32
2015 01 28 15    59.53   146.38
2015 01 28 16    57.49   146.49
2015 01 28 17    58.68   146.60
2015 01 28 18    57.77   146.77
2015 01 28 19    62.09   146.80
2015 01 28 20    58.81   146.74
2015 01 28 21    59.85   146.70
2015 01 28 22    57.61   146.60
2015 01 28 23    54.37   146.58
2015 01 29 00    56.59   146.66
2015 01 29 01    54.49   146.70
2015 01 29 02    55.64   146.78
2015 01 29 03    58.93   146.86
2015 01 29 04    56.81   146.88
2015 01 29 05    61.17   146.95
2015 01 29 06    57.03   147.10
2015 01 29 07    59.48   147.40
2015 01 29 08    60.63   147.48
2015 01 29 09    57.48   147.54
2015 01 29 10    62.76   147.46
2015 01 29 11    58.22   147.22
2015 01 29 12    58.24   147.23
2015 01 29 13    59.28   147.21
2015 01 29 14    58.23   147.23
2015 01 29 15    60.38   147.23
2015 01 29 16    59.33   147.25
2015 01 29 17    61.59   147.37
2015 01 29 18    63.75   147.39
2015 01 29 19    62.76   147.46
2015 01 29 20    60.65   147.51
2015 01 29 21    57.38   147.45
2015 01 29 22    53.15   147.51
2015 01 29 23    54.25   147.53
2015 01 30 00    55.36   147.57
2015 01 30 01    57.57   147.64
2015 01 30 02    58.68   147.68
2015 01 30 03    58.84   147.83
2015 01 30 04    58.97   147.96
2015 01 30 05    55.81   148.03
2015 01 30 06    56.99   148.13
2015 01 30 07    55.90   148.11
2015 01 30 08    52.68   148.11
2015 01 30 09    55.94   148.15
2015 01 30 10    51.69   148.19
2015 01 30 11    52.79   148.22
2015 01 30 12    57.09   148.23
2015 01 30 13    52.86   148.29
2015 01 30 14    57.21   148.35
2015 01 30 15    51.93   148.44
2015 01 30 16    52.05   148.55
2015 01 30 17    54.28   148.63
2015 01 30 18    53.27   148.70
2015 01 30 19    57.61   148.75
2015 01 30 20    54.45   148.81
2015 01 30 21    57.65   148.79
2015 01 30 22    52.29   148.79
2015 01 30 23    49.07   148.79
2015 01 31 00    53.36   148.79
2015 01 31 01    44.91   148.92
2015 01 31 02    49.29   149.01
2015 01 31 03    50.47   149.11
2015 01 31 04    47.35   149.21
2015 01 31 05    51.62   149.19
2015 01 31 06    48.41   149.20
2015 01 31 07    48.40   149.19
2015 01 31 08    48.38   149.17
2015 01 31 09    49.53   149.24
2015 01 31 10    49.57   149.29
2015 01 31 11    49.61   149.33
2015 01 31 12    51.80   149.37
2015 01 31 13    45.38   149.38
2015 01 31 14    47.64   149.50
2015 01 31 15    48.76   149.55
2015 01 31 16    46.64   149.58
2015 01 31 17    53.21   149.72
2015 01 31 18    51.11   149.76
2015 01 31 19    52.29   149.86
2015 01 31 20    51.26   149.91
2015 01 31 21    49.03   149.83
2015 01 31 22    45.74   149.75
2015 01 31 23    43.62   149.77
2015 02 01 00    43.69   149.84
2015 02 01 01    40.61   149.98
2015 02 01 02    43.97   150.12
2015 02 01 03    46.24   150.25
2015 02 01 04    38.83   150.35
2015 02 01 05    51.47   150.12
2015 02 01 06    58.80   149.94
2015 02 01 07    45.96   149.97
2015 02 01 08    43.87   150.02
2015 02 01 09    67.79   150.35
2015 02 01 10    48.80   150.66
2015 02 01 11    62.78   150.71
2015 02 01 12    74.60   150.72
2015 02 01 13    30.69   150.78
2015 02 01 14    54.46   150.96
2015 02 01 15    43.94   151.16
2015 02 01 16    52.60   151.25
2015 02 01 17    77.32   151.30
2015 02 01 18    67.57   151.21
2015 02 01 19    78.19   151.11
2015 02 01 20    65.44   151.22
2015 02 01 21    65.48   151.26
2015 02 01 22    72.13   149.34
2015 02 01 23    75.96   145.66
2015 02 02 00    81.21   142.33
2015 02 02 01    74.72   139.06
2015 02 02 02    77.70   137.74
2015 02 02 03    74.93   138.19
2015 02 02 04    77.08   138.20
2015 02 02 05    79.25   138.22
2015 02 02 06    79.26   138.23
2015 02 02 07    83.56   138.25
2015 02 02 08    86.80   138.27
2015 02 02 09    90.04   138.29
2015 02 02 10    88.98   138.30
2015 02 02 11    87.92   138.32
2015 02 02 12    93.35   140.53
2015 02 02 13    91.26   142.73
2015 02 02 14    94.54   144.93
2015 02 02 15    99.97   147.15
2015 02 02 16    99.46   147.18
2015 02 02 17   105.38   147.21
2015 02 02 18   111.03   135.70
2015 02 02 19   112.90   124.17
2015 02 02 20   114.37   112.58
2015 02 02 21   114.39   100.97
2015 02 02 22   110.73   100.89
2015 02 02 23   113.17   100.83
2015 02 03 00   118.86   100.81
2015 02 03 01   115.27   100.79
2015 02 03 02   101.68   100.79
2015 02 03 03   117.94   100.78
2015 02 03 04   114.71   100.78
2015 02 03 05   116.87   100.79
2015 02 03 06   133.54   108.88
2015 02 03 07   115.40   117.54
2015 02 03 08   114.41   126.20
