#AAA MM DD HH    Qaflu   Qdeflu
2015 01 29 12   101.42   100.80
2015 01 29 13   102.15   100.81
2015 01 29 14   102.72   100.79
2015 01 29 15   103.09   100.83
2015 01 29 16   103.21   100.80
2015 01 29 17   103.20   100.85
2015 01 29 18   103.31   101.29
2015 01 29 19   103.40   101.69
2015 01 29 20   103.63   102.13
2015 01 29 21   104.12   102.53
2015 01 29 22   104.60   102.55
2015 01 29 23   105.55   103.63
2015 01 30 00   106.81   105.62
2015 01 30 01   108.34   108.10
2015 01 30 02   109.82   110.58
2015 01 30 03   110.89   112.05
2015 01 30 04   111.55   112.56
2015 01 30 05   111.75   112.54
2015 01 30 06   111.81   112.51
2015 01 30 07   111.75   112.46
2015 01 30 08   111.72   112.48
2015 01 30 09   111.55   112.46
2015 01 30 10   111.35   112.51
2015 01 30 11   111.18   112.40
2015 01 30 12   110.80   111.60
2015 01 30 13   110.35   110.68
2015 01 30 14   109.77   109.65
2015 01 30 15   109.17   108.80
2015 01 30 16   108.52   108.58
2015 01 30 17   108.01   108.55
2015 01 30 18   107.44   108.51
2015 01 30 19   106.84   108.43
2015 01 30 20   106.28   108.05
2015 01 30 21   105.80   107.51
2015 01 30 22   105.41   106.69
2015 01 30 23   105.15   105.52
2015 01 31 00   105.08   104.68
2015 01 31 01   105.10   104.00
2015 01 31 02   105.28   103.63
2015 01 31 03   105.62   103.66
2015 01 31 04   105.84   103.88
2015 01 31 05   106.20   104.46
2015 01 31 06   106.36   105.44
2015 01 31 07   106.42   106.42
2015 01 31 08   106.33   107.25
2015 01 31 09   106.02   107.73
2015 01 31 10   105.73   107.77
2015 01 31 11   105.27   107.84
2015 01 31 12   104.88   107.88
2015 01 31 13   104.22   107.80
2015 01 31 14   103.49   107.79
2015 01 31 15   102.53   107.69
2015 01 31 16   101.63   107.62
2015 01 31 17   100.68   107.56
2015 01 31 18    99.61   107.39
2015 01 31 19    99.39   105.32
2015 01 31 20    99.62   101.52
2015 01 31 21    99.88    98.22
2015 01 31 22   100.67    96.10
2015 01 31 23   101.81    97.65
2015 02 01 00   101.22   102.09
