#AAA MM DD HH    Qaflu   Qdeflu
2015 03 04 04   181.15   181.24
2015 03 04 05   190.87   196.95
2015 03 04 06   186.40   190.07
2015 03 04 07   183.12   185.66
2015 03 04 08   180.66   182.52
2015 03 04 09   178.57   180.07
2015 03 04 10   176.74   178.05
2015 03 04 11   174.92   176.18
2015 03 04 12   173.16   174.38
2015 03 04 13   171.51   172.67
2015 03 04 14   169.70   170.95
2015 03 04 15   168.13   169.33
2015 03 04 16   166.69   167.91
2015 03 04 17   165.38   166.69
2015 03 04 18   164.39   165.65
2015 03 04 19   163.46   164.77
2015 03 04 20   162.66   163.92
2015 03 04 21   161.73   163.02
2015 03 04 22   160.78   162.13
2015 03 04 23   159.77   161.18
2015 03 05 00   158.53   160.11
2015 03 05 01   157.31   158.96
2015 03 05 02   155.87   157.71
2015 03 05 03   154.31   156.30
2015 03 05 04   152.73   154.80
2015 03 05 05   150.85   153.20
2015 03 05 06   148.97   151.63
2015 03 05 07   147.27   150.48
2015 03 05 08   145.67   149.67
2015 03 05 09   144.18   149.29
2015 03 05 10   142.68   149.10
2015 03 05 11   140.76   148.74
2015 03 05 12   139.51   146.96
2015 03 05 13   138.11   145.14
2015 03 05 14   137.91   142.25
2015 03 05 15   138.21   139.56
2015 03 05 16   137.79   138.34
2015 03 05 17   137.82   137.21
2015 03 05 18   136.85   137.27
2015 03 05 19   135.75   137.31
2015 03 05 20   134.62   137.34
2015 03 05 21   133.37   137.39
2015 03 05 22   132.88   136.67
2015 03 05 23   132.93   135.46
2015 03 06 00   133.31   134.23
2015 03 06 01   133.76   132.98
2015 03 06 02   133.61   132.48
2015 03 06 03   132.77   132.44
2015 03 06 04   131.59   132.42
2015 03 06 05   130.20   132.35
2015 03 06 06   128.24   132.23
2015 03 06 07   125.84   132.09
2015 03 06 08   123.34   131.68
2015 03 06 09   121.62   130.28
2015 03 06 10   125.53   122.55
2015 03 06 11   128.89   113.90
2015 03 06 12   130.58   105.03
2015 03 06 13   130.88    99.22
2015 03 06 14   127.80   103.29
2015 03 06 15   128.22   115.72
2015 03 06 16   131.59   130.76
2015 03 06 17   134.66   142.72
2015 03 06 18   134.60   147.86
2015 03 06 19   132.13   143.71
2015 03 06 20   128.56   137.06
2015 03 06 21   125.97   131.26
2015 03 06 22   124.53   128.77
2015 03 06 23   123.08   128.21
2015 03 07 00   121.35   128.02
2015 03 07 01   119.57   128.01
2015 03 07 02   119.09   125.83
2015 03 07 03   119.65   121.95
2015 03 07 04   120.63   118.07
2015 03 07 05   122.11   114.52
2015 03 07 06   122.53   113.31
2015 03 07 07   122.23   114.38
2015 03 07 08   122.10   115.98
2015 03 07 09   122.07   117.85
2015 03 07 10   122.08   119.61
2015 03 07 11   122.03   120.78
2015 03 07 12   121.80   121.37
2015 03 07 13   121.13   121.37
2015 03 07 14   120.36   121.28
2015 03 07 15   119.38   121.18
2015 03 07 16   118.45   121.11
2015 03 07 17   117.47   121.04
2015 03 07 18   116.37   120.98
2015 03 07 19   115.33   120.95
2015 03 07 20   114.15   120.91
2015 03 07 21   113.03   120.84
2015 03 07 22   112.21   120.27
2015 03 07 23   111.94   118.95
2015 03 08 00   112.28   116.72
2015 03 08 01   112.53   114.55
2015 03 08 02   112.76   112.91
2015 03 08 03   112.47   112.03
2015 03 08 04   111.52   112.13
2015 03 08 05   110.61   112.16
2015 03 08 06   109.97   111.49
2015 03 08 07   109.64   110.25
2015 03 08 08   109.05   108.93
2015 03 08 09   109.87   107.71
2015 03 08 10   110.01   107.21
2015 03 08 11   110.16   107.28
2015 03 08 12   110.85   107.36
2015 03 08 13   110.53   107.37
2015 03 08 14   110.60   107.32
2015 03 08 15   110.67   107.26
2015 03 08 16   110.79   107.25
2015 03 08 17   110.74   107.23
2015 03 08 18   110.66   107.24
2015 03 08 19   110.35   107.21
2015 03 08 20   109.96   107.21
2015 03 08 21   109.58   107.23
2015 03 08 22   109.08   107.19
2015 03 08 23   108.67   107.24
2015 03 09 00   108.24   107.23
2015 03 09 01   107.84   107.26
2015 03 09 02   107.52   107.36
2015 03 09 03   107.16   107.40
2015 03 09 04   106.69   107.45
2015 03 09 05   106.12   107.43
2015 03 09 06   105.50   107.40
2015 03 09 07   104.89   107.43
2015 03 09 08   104.20   107.37
2015 03 09 09   103.60   107.36
2015 03 09 10   103.14   106.96
2015 03 09 11   102.72   106.14
2015 03 09 12   102.45   105.35
2015 03 09 13   102.09   104.57
2015 03 09 14   101.70   104.21
2015 03 09 15   101.15   104.17
2015 03 09 16   100.78   103.74
2015 03 09 17   100.62   102.76
2015 03 09 18   100.63   101.30
2015 03 09 19   100.81    99.87
2015 03 09 20   100.90    98.85
2015 03 09 21   100.92    98.41
2015 03 09 22   100.81    98.42
2015 03 09 23   100.76    98.49
2015 03 10 00   100.66    98.56
2015 03 10 01   100.52    98.57
2015 03 10 02   100.35    98.57
2015 03 10 03   100.10    98.54
2015 03 10 04    99.76    98.51
2015 03 10 05    96.50    95.55
2015 03 10 06    88.85    88.15
2015 03 10 07    89.57    88.16
2015 03 10 08    90.29    88.21
2015 03 10 09    94.07    91.20
2015 03 10 10   102.19    98.67
2015 03 10 11   102.11    99.09
2015 03 10 12   102.12   100.04
2015 03 10 13   101.84   100.99
2015 03 10 14   101.67   101.88
2015 03 10 15   101.25   101.95
2015 03 10 16   100.81   101.42
2015 03 10 17   100.40   100.89
2015 03 10 18    99.88   100.40
2015 03 10 19    99.40   100.35
2015 03 10 20    98.87   100.37
2015 03 10 21    98.64   100.14
2015 03 10 22    98.56    98.17
2015 03 10 23    98.52    96.23
2015 03 11 00    98.37    95.37
2015 03 11 01    98.15    94.91
2015 03 11 02    97.98    96.17
2015 03 11 03    97.82    97.45
2015 03 11 04    97.89    97.61
2015 03 11 05    97.83    97.65
2015 03 11 06    97.58    97.68
2015 03 11 07    97.40    97.68
2015 03 11 08    97.11    97.72
2015 03 11 09    96.65    98.03
2015 03 11 10    95.97    98.47
