fid,id,x,y
"3906","3905",-51.6410000000001,-26.1018
"3907","3906",-51.6010000000001,-26.1018
"3908","3907",-51.5610000000001,-26.1018
"3909","3908",-51.5210000000001,-26.1018
"3910","3909",-51.4810000000001,-26.1018
"3911","3910",-51.4410000000001,-26.1018
"3912","3911",-51.4010000000001,-26.1018
"3913","3912",-51.3610000000001,-26.1018
"3914","3913",-51.3210000000001,-26.1018
"3915","3914",-51.2810000000001,-26.1018
"3916","3915",-51.2410000000001,-26.1018
"3917","3916",-51.2010000000001,-26.1018
"3918","3917",-51.1610000000001,-26.1018
"3919","3918",-51.1210000000001,-26.1018
"3920","3919",-51.0810000000001,-26.1018
"3921","3920",-51.0410000000001,-26.1018
"3922","3921",-51.0010000000001,-26.1018
"3923","3922",-50.9610000000001,-26.1018
"3924","3923",-50.9210000000001,-26.1018
"4042","4041",-51.6810000000001,-26.1418
"4043","4042",-51.6410000000001,-26.1418
"4044","4043",-51.6010000000001,-26.1418
"4045","4044",-51.5610000000001,-26.1418
"4046","4045",-51.5210000000001,-26.1418
"4047","4046",-51.4810000000001,-26.1418
"4048","4047",-51.4410000000001,-26.1418
"4049","4048",-51.4010000000001,-26.1418
"4050","4049",-51.3610000000001,-26.1418
"4051","4050",-51.3210000000001,-26.1418
"4052","4051",-51.2810000000001,-26.1418
"4053","4052",-51.2410000000001,-26.1418
"4054","4053",-51.2010000000001,-26.1418
"4055","4054",-51.1610000000001,-26.1418
"4056","4055",-51.1210000000001,-26.1418
"4057","4056",-51.0810000000001,-26.1418
"4058","4057",-51.0410000000001,-26.1418
"4059","4058",-51.0010000000001,-26.1418
"4179","4178",-51.6810000000001,-26.1818
"4180","4179",-51.6410000000001,-26.1818
"4181","4180",-51.6010000000001,-26.1818
"4182","4181",-51.5610000000001,-26.1818
"4183","4182",-51.5210000000001,-26.1818
"4184","4183",-51.4810000000001,-26.1818
"4185","4184",-51.4410000000001,-26.1818
"4186","4185",-51.4010000000001,-26.1818
"4187","4186",-51.3610000000001,-26.1818
"4188","4187",-51.3210000000001,-26.1818
"4189","4188",-51.2810000000001,-26.1818
"4190","4189",-51.2410000000001,-26.1818
"4191","4190",-51.2010000000001,-26.1818
"4192","4191",-51.1610000000001,-26.1818
"4193","4192",-51.1210000000001,-26.1818
"4194","4193",-51.0810000000001,-26.1818
"4195","4194",-51.0410000000001,-26.1818
"4196","4195",-51.0010000000001,-26.1818
"4319","4318",-51.5610000000001,-26.2218
