,Q_obs1,Q_obs2,pme,etp,MGB,SAC,GR4,HYMOD,SMAP,IPH2
2017-05-31,71.67,78.055,37.12,2.464,55.55,109.018,61.473,109.932,87.184,105.012
2017-06-01,76.37,78.443,4.45,2.216,77.09,138.145,69.026,110.398,95.517,113.097
2017-06-02,93.43,95.248,0.04,2.453,71.11,137.202,82.554,110.289,99.8,120.747
2017-06-03,103.01,104.685,0.01,2.229,61.84,131.385,94.785,108.996,101.566,126.928
2017-06-04,102.71,105.508,1.59,1.94,58.98,122.539,102.729,106.386,101.906,120.871
2017-06-05,102.1,103.206,21.46,2.078,64.35,116.299,116.153,105.973,104.312,119.314
2017-06-06,102.1,104.101,33.76,2.006,75.65,145.031,120.031,111.661,114.276,128.749
2017-06-07,107.57,110.125,1.77,2.297,85.51,165.914,108.243,113.228,122.011,137.676
2017-06-08,112.13,113.687,9.48,1.911,87.74,163.684,105.979,114.495,125.939,148.54
2017-06-09,114.26,119.677,0.78,2.257,86.7,160.009,114.914,113.99,128.483,153.879
2017-06-10,114.26,124.503,0.01,2.158,78.85,154.931,136.041,111.909,129.23,148.024
2017-06-11,114.26,125.616,0.0,2.254,72.31,143.171,159.063,108.404,128.753,142.483
2017-06-12,113.96,126.22,0.0,2.072,67.28,131.006,152.731,103.768,127.376,134.825
2017-06-13,113.35,127.078,0.05,2.161,62.86,119.014,126.222,98.336,125.309,127.579
2017-06-14,113.65,128.121,0.08,2.151,58.87,107.823,106.871,92.424,122.671,120.722
2017-06-15,113.96,128.977,0.01,1.867,55.24,97.415,88.878,86.307,119.56,114.233
2017-06-16,112.74,127.122,0.0,1.952,51.92,87.934,75.946,80.203,116.074,108.094
2017-06-17,110.92,124.556,0.01,2.114,48.87,79.382,66.371,74.28,112.273,102.284
2017-06-18,103.62,117.204,0.01,1.346,46.06,71.753,59.255,68.654,108.206,96.787
2017-06-19,82.01,96.024,4.45,1.501,44.63,65.121,54.12,63.548,104.096,91.585
2017-06-20,57.6,70.051,3.81,1.839,44.17,59.694,50.432,58.905,100.436,86.662
2017-06-21,44.02,56.229,0.12,2.256,41.87,55.2,47.844,54.648,96.94,82.005
2017-06-22,36.93,48.987,0.04,2.065,39.15,51.126,46.159,50.801,93.168,77.598
2017-06-23,34.43,43.917,0.03,2.433,36.72,47.403,45.215,47.337,89.216,73.427
2017-06-24,30.46,40.232,0.0,1.972,34.69,43.859,44.947,44.226,85.112,69.481
2017-06-25,27.89,36.838,0.03,1.983,32.87,40.414,44.6,41.441,80.949,65.747
2017-06-26,25.6,33.713,0.01,1.864,31.2,37.35,43.047,38.955,76.763,62.214
2017-06-27,23.36,31.18,0.01,1.957,29.65,34.535,40.941,36.74,72.595,58.87
2017-06-28,21.78,29.646,0.04,2.102,28.2,31.955,39.039,34.768,68.46,55.707
2017-06-29,20.03,28.085,0.0,2.01,26.85,29.605,37.358,33.014,64.37,52.713
2017-06-30,17.77,25.975,0.0,2.334,25.59,27.408,35.869,31.454,60.348,49.88
2017-07-01,17.4,24.903,0.0,2.146,24.41,25.387,34.552,30.064,56.448,47.2
2017-07-02,16.31,24.098,0.0,1.985,23.3,23.699,33.403,28.824,52.802,44.664
2017-07-03,15.77,24.079,0.0,2.056,22.25,22.144,32.398,27.714,49.392,42.264
2017-07-04,15.41,23.014,0.03,1.878,21.26,20.775,31.49,26.717,46.202,39.993
