,Q_obs1,Q_obs2,pme,etp,MGB,SAC,GR4,HYMOD,SMAP,IPH2
2017-03-06,77.97,77.48,4.01,4.081,81.07,86.239,77.423,71.931,89.68,52.83
2017-03-07,68.62,70.607,0.2,4.235,73.93,84.652,74.649,70.45,87.558,51.159
2017-03-08,64.1,66.166,0.31,4.389,68.21,81.532,71.695,68.569,85.27,49.62
2017-03-09,59.7,62.832,0.35,3.909,61.3,77.595,67.334,66.437,83.046,48.2
2017-03-10,53.73,56.621,3.42,4.079,55.62,74.418,63.75,64.417,81.229,46.891
2017-03-11,50.07,51.085,0.82,3.853,51.33,71.829,60.775,62.311,79.422,45.683
2017-03-12,47.98,49.406,11.37,3.481,49.27,71.447,59.154,62.668,81.5,44.571
2017-03-13,53.73,53.736,0.19,3.701,49.53,71.824,60.295,61.958,81.196,43.548
2017-03-14,58.6,60.208,0.04,3.588,52.14,70.39,64.581,60.995,79.788,42.606
2017-03-15,54.78,57.876,0.07,4.131,51.43,68.09,66.314,59.713,77.988,41.735
2017-03-16,50.59,51.648,4.16,4.08,47.99,66.291,62.463,58.505,76.519,40.934
2017-03-17,45.89,47.557,6.23,3.354,45.5,66.072,59.071,57.722,75.886,40.197
2017-03-18,47.46,47.702,5.91,3.251,45.94,67.038,57.529,57.144,75.504,39.519
2017-03-19,49.02,48.217,0.79,3.712,49.26,67.404,58.664,56.117,74.28,38.895
2017-03-20,50.07,49.827,0.5,4.164,48.55,66.351,60.106,54.872,72.721,38.32
2017-03-21,49.55,50.097,0.38,3.216,49.36,64.495,58.886,53.45,71.087,37.788
2017-03-22,45.36,46.004,0.18,2.941,46.43,62.206,55.99,51.922,69.5,37.296
2017-03-23,41.82,41.839,0.55,3.5,43.16,59.9,53.411,50.367,68.003,36.84
2017-03-24,39.31,38.533,0.72,3.035,40.72,57.808,51.399,48.843,66.625,36.418
2017-03-25,36.29,37.097,0.55,3.739,38.75,55.928,49.818,47.381,65.356,36.026
2017-03-26,34.34,35.532,0.08,3.815,37.11,54.129,48.417,45.996,64.182,35.661
2017-03-27,33.03,33.865,1.85,3.594,35.9,52.795,47.123,44.763,63.134,35.323
2017-03-28,33.03,33.228,1.05,3.492,34.74,51.947,45.921,43.609,62.125,35.009
2017-03-29,33.03,33.816,2.5,3.074,33.71,51.608,44.81,42.637,61.264,34.718
2017-03-30,32.15,32.98,0.38,3.077,32.9,51.303,43.787,41.674,60.368,34.447
2017-03-31,32.15,32.328,0.64,3.549,32.59,50.723,42.843,40.755,59.476,34.194
2017-04-01,31.71,31.596,1.05,3.454,32.45,50.154,41.963,39.881,58.608,33.957
2017-04-02,31.28,31.254,0.45,3.195,31.9,49.544,41.131,39.027,57.763,33.735
2017-04-03,31.28,31.466,0.12,2.796,31.57,48.753,40.344,38.194,56.943,33.527
2017-04-04,30.4,31.128,0.41,2.768,31.11,47.881,39.598,37.388,56.147,33.331
2017-04-05,30.4,30.996,8.33,2.861,31.39,48.795,39.227,37.903,57.251,33.149
2017-04-06,34.91,33.642,20.78,3.138,34.37,54.706,41.108,45.894,69.796,41.606
2017-04-07,50.59,47.246,0.27,3.059,37.63,60.976,48.211,49.867,72.931,49.433
2017-04-08,60.8,60.244,0.08,3.254,44.62,63.1,59.671,52.407,71.853,48.051
2017-04-09,62.45,62.448,1.1,3.038,45.09,62.917,64.491,53.308,69.142,46.772
2017-04-10,57.5,58.31,0.79,3.003,41.33,61.558,59.148,52.822,65.991,45.587
2017-04-11,49.02,51.559,4.82,3.943,38.39,60.453,54.159,51.785,63.489,44.491
2017-04-12,46.41,46.378,3.7,4.041,36.25,60.072,50.871,50.208,61.178,43.476
2017-04-13,49.02,47.765,0.02,3.473,34.79,59.138,49.409,48.164,58.804,42.533
2017-04-14,47.46,51.017,0.0,2.975,35.18,57.234,48.193,45.944,56.583,41.657
2017-04-15,41.32,46.71,0.0,3.097,33.76,54.899,46.644,43.692,54.595,40.842
2017-04-16,33.9,41.143,0.95,2.774,31.99,52.679,45.195,41.535,52.845,40.086
2017-04-17,31.71,37.138,0.0,3.091,30.68,50.63,43.893,39.514,51.309,39.381
2017-04-18,31.71,34.467,0.67,3.235,29.63,48.771,42.75,37.678,49.956,38.725
2017-04-19,30.84,32.758,0.11,3.17,28.78,47.134,41.706,36.025,48.758,38.113
2017-04-20,30.84,30.576,1.14,3.52,28.38,45.837,40.735,34.576,47.692,37.543
2017-04-21,30.4,29.28,9.28,2.588,28.98,46.734,40.221,34.894,49.126,37.013
2017-04-22,33.9,32.934,4.08,2.961,29.54,49.178,41.091,34.899,49.329,36.52
2017-04-23,35.79,36.444,0.0,2.822,33.16,50.445,43.71,34.636,48.584,36.061
2017-04-24,34.34,34.899,0.02,3.353,32.27,50.209,45.457,34.135,47.486,35.634
2017-04-25,32.59,32.824,0.01,3.022,30.41,49.129,43.973,33.412,46.307,35.235
2017-04-26,35.85,35.544,18.59,2.872,34.0,51.645,42.901,38.994,55.412,38.915
2017-04-27,45.91,45.227,0.0,2.945,37.14,55.429,45.26,41.411,57.552,42.321
2017-04-28,53.21,52.719,0.0,2.809,36.61,56.202,52.059,42.827,56.551,41.422
2017-04-29,45.38,47.488,0.0,3.07,34.18,55.206,56.089,43.073,54.35,40.588
2017-04-30,37.8,38.781,0.0,3.18,31.69,53.245,52.383,42.348,51.838,39.811
2017-05-01,31.28,32.616,0.0,2.987,29.88,50.839,48.674,40.956,49.396,39.088
2017-05-02,28.65,29.341,0.09,2.934,28.53,48.53,45.832,39.178,47.172,38.413
2017-05-03,27.77,28.086,0.04,2.879,27.48,46.344,44.186,37.24,45.22,37.784
2017-05-04,27.33,26.923,5.88,2.283,27.06,45.606,43.108,35.944,44.429,37.199
2017-05-05,28.21,26.992,3.69,2.716,27.28,46.329,42.861,34.688,43.557,36.654
2017-05-06,30.4,29.83,0.01,2.656,29.33,46.578,43.651,33.361,42.388,36.147
2017-05-07,30.4,30.286,0.0,2.851,30.07,45.863,44.091,32.046,41.154,35.675
2017-05-08,28.65,29.435,0.0,2.414,28.79,44.659,42.854,30.755,39.985,35.232
2017-05-09,28.65,28.232,0.08,2.804,27.3,43.257,41.231,29.513,38.916,34.817
2017-05-10,27.77,27.69,0.25,2.511,26.25,41.883,39.829,28.344,37.951,34.428
2017-05-11,26.9,26.612,0.11,2.824,25.44,40.602,38.77,27.261,37.083,34.061
2017-05-12,26.02,25.391,0.0,2.72,24.8,39.409,37.89,26.269,36.299,33.717
2017-05-13,24.15,24.678,0.27,2.271,25.58,38.363,37.083,25.37,35.585,33.393
2017-05-14,28.65,27.758,10.91,2.341,26.83,39.805,36.755,26.783,38.325,33.089
2017-05-15,35.28,35.783,0.0,2.603,30.95,42.137,37.846,27.211,38.723,32.803
2017-05-16,35.35,36.307,0.0,2.203,31.04,42.725,40.582,27.37,38.097,32.536
2017-05-17,29.52,30.054,0.0,2.937,29.12,42.339,42.103,27.179,37.092,32.284
2017-05-18,27.77,26.933,17.66,2.395,29.17,45.237,41.073,32.52,45.315,36.33
2017-05-19,68.58,56.931,38.82,2.325,41.29,64.082,44.809,62.956,93.473,73.147
2017-05-20,88.18,84.563,2.36,1.757,57.66,93.102,60.541,79.108,107.299,103.315
2017-05-21,97.0,94.688,9.74,1.964,63.92,101.588,88.548,91.633,108.572,102.984
2017-05-22,99.5,100.283,0.26,2.425,65.97,106.641,103.018,97.232,101.976,102.31
2017-05-23,96.0,96.238,0.44,1.868,60.45,106.727,96.642,97.527,92.806,96.876
2017-05-24,92.5,92.998,1.23,1.916,55.42,100.589,87.897,94.004,83.579,91.85
2017-05-25,88.79,89.623,0.0,2.293,49.95,93.545,77.325,88.095,75.275,87.201
2017-05-26,82.14,84.437,0.05,2.531,44.76,86.199,70.466,81.012,68.169,82.9
2017-05-27,77.32,78.314,5.86,2.691,41.55,80.383,65.686,74.264,63.208,78.922
2017-05-28,73.26,72.756,10.75,2.502,39.64,77.975,63.646,69.631,62.33,76.707
2017-05-29,65.78,67.327,0.16,2.227,39.72,76.145,65.399,64.457,59.76,74.659
2017-05-30,61.35,62.629,5.83,2.099,37.79,77.227,69.581,60.219,57.601,72.333
2017-05-31,65.75,64.934,18.16,2.529,40.38,83.056,72.059,62.129,65.715,79.858
2017-06-01,96.5,90.982,10.72,2.107,52.6,99.766,76.434,63.497,70.507,91.128
2017-06-02,92.5,94.402,0.0,2.324,62.54,106.023,89.153,63.189,69.828,91.887
2017-06-03,85.76,86.767,0.0,2.306,59.25,104.828,98.542,61.752,66.893,87.26
2017-06-04,79.11,80.512,0.37,1.818,52.6,98.7,93.449,59.312,63.355,82.982
2017-06-05,90.4,85.655,20.19,2.111,72.54,98.011,84.741,63.821,73.392,86.455
2017-06-06,125.5,159.606,72.94,2.209,151.5,155.308,93.144,162.982,241.654,178.675
2017-06-07,155.8,240.037,1.31,2.414,163.41,214.917,149.919,213.972,290.935,256.564
2017-06-08,180.0,181.531,4.48,2.082,172.59,220.093,275.961,249.2,287.328,240.424
2017-06-09,197.4,194.282,1.91,2.313,176.92,212.838,310.656,265.285,262.723,225.502
2017-06-10,197.4,196.444,0.0,2.376,167.47,201.067,233.429,265.289,232.254,210.902
2017-06-11,190.1,190.205,0.0,2.365,144.99,184.988,180.576,253.949,202.591,197.402
2017-06-12,176.3,175.586,0.0,2.08,124.42,168.113,144.328,235.776,176.308,184.919
2017-06-13,151.75,155.07,0.3,2.207,107.84,151.767,123.388,214.366,154.074,173.376
2017-06-14,129.0,132.899,0.01,2.122,94.57,136.969,109.199,192.275,135.728,162.701
2017-06-15,113.0,115.514,0.06,1.998,83.97,123.617,98.578,171.141,120.793,152.827
2017-06-16,104.5,105.726,0.05,2.484,75.44,111.921,90.282,151.894,108.726,143.694
2017-06-17,98.0,99.386,0.0,2.399,68.5,101.736,83.599,134.956,99.0,135.246
2017-06-18,86.37,88.523,0.0,1.323,62.79,92.932,78.098,120.415,91.164,127.432
2017-06-19,73.84,76.077,6.14,1.374,60.59,86.699,74.044,108.863,85.932,120.207
2017-06-20,79.11,76.301,12.21,1.847,61.97,84.645,73.64,101.821,86.08,117.211
2017-06-21,80.93,79.898,0.13,2.362,68.76,83.435,79.892,95.131,83.817,114.446
2017-06-22,80.93,80.495,0.04,2.097,69.72,80.402,89.653,89.4,80.625,108.207
2017-06-23,79.11,79.909,0.0,2.458,64.7,76.515,90.534,84.296,77.355,102.437
2017-06-24,75.0,76.657,0.0,2.187,59.24,72.253,82.428,79.693,74.337,97.101
2017-06-25,69.78,71.132,0.06,2.162,54.95,67.958,75.349,75.544,71.682,92.164
2017-06-26,63.55,64.246,0.04,2.258,51.4,63.984,70.073,71.826,69.389,87.597
2017-06-27,55.33,57.865,0.01,2.136,48.39,60.421,66.437,68.517,67.417,83.37
2017-06-28,50.07,52.693,0.07,2.222,45.81,57.225,63.467,65.586,65.715,79.458
2017-06-29,47.46,48.488,0.0,2.156,43.58,54.389,60.86,62.996,64.231,75.838
2017-06-30,44.84,45.343,0.0,2.45,41.62,51.757,58.552,60.707,62.921,72.486
2017-07-01,43.33,42.724,0.02,2.465,39.89,49.034,56.49,58.678,61.743,69.383
2017-07-02,40.82,40.577,0.02,2.224,38.34,47.261,54.632,56.87,60.666,66.51
2017-07-03,39.31,38.495,0.61,2.111,36.95,45.802,52.949,55.255,59.67,63.85
2017-07-04,37.3,37.152,0.75,2.121,35.75,44.748,51.419,53.8,58.741,61.387
