data,Q_obs,pme,etp,MGB,SAC,GR4,HYMOD,SMAP,IPH2
2017-07-02,17.78,0.0,2.183,18.06,12.707,18.259,21.322,15.1,23.144
2017-07-03,20.36,0.0,2.318,17.63,12.362,17.683,20.816,15.031,22.556
2017-07-04,19.03,0.02,2.006,17.22,12.031,17.148,20.323,14.955,21.983
2017-07-05,17.74,0.01,1.955,16.83,11.713,16.65,19.842,14.875,21.426
2017-07-06,16.39,0.0,1.968,16.44,11.408,16.185,19.372,14.79,20.883
2017-07-07,15.34,0.0,2.225,16.07,11.117,15.75,18.914,14.699,20.354
2017-07-08,14.33,0.0,2.296,15.72,10.837,15.342,18.466,14.604,19.839
2017-07-09,12.04,0.0,1.934,15.37,10.565,14.959,18.03,14.504,19.337
2017-07-10,11.53,0.0,2.089,15.04,10.313,14.599,17.603,14.399,18.847
2017-07-11,11.26,0.0,2.305,14.72,10.075,14.259,17.187,14.292,18.371
2017-07-12,10.44,0.01,2.757,14.4,9.849,13.939,16.78,14.179,17.906
2017-07-13,10.11,0.0,3.039,14.1,9.635,13.636,16.383,14.062,17.453
2017-07-14,8.95,0.03,2.686,13.8,9.432,13.349,15.996,13.94,17.011
2017-07-15,7.46,0.01,2.165,13.52,9.241,13.078,15.617,13.814,16.581
2017-07-16,7.11,0.01,2.608,13.24,9.06,12.82,15.248,13.686,16.162
2017-07-17,10.31,2.04,2.575,13.29,8.89,12.575,14.95,13.558,15.753
2017-07-18,14.71,0.89,2.123,12.9,8.729,12.341,14.631,13.431,15.354
2017-07-19,12.71,0.0,2.385,12.57,8.569,12.119,14.289,13.305,14.966
2017-07-20,6.0,0.01,2.643,12.3,8.432,11.908,13.94,13.176,14.587
2017-07-21,4.1,0.0,2.575,12.05,8.305,11.705,13.595,13.045,14.219
2017-07-22,3.63,0.0,2.544,11.81,8.188,11.512,13.26,12.911,13.859
2017-07-23,2.82,0.0,2.67,11.58,8.05,11.328,12.935,12.776,13.508
2017-07-24,2.13,0.0,2.541,11.36,7.924,11.151,12.622,12.639,13.167
2017-07-25,2.29,0.0,2.84,11.15,7.833,10.981,12.318,12.5,12.834
2017-07-26,2.14,0.0,3.017,10.94,7.746,10.819,12.023,12.36,12.509
2017-07-27,2.06,0.0,2.392,10.73,7.665,10.663,11.737,12.218,12.193
2017-07-28,1.82,0.0,2.912,10.54,7.584,10.513,11.458,12.076,11.884
2017-07-29,1.81,0.0,3.012,10.34,7.509,10.37,11.186,11.932,11.584
2017-07-30,1.87,0.0,2.626,10.15,7.437,10.231,10.921,11.787,11.291
2017-07-31,1.28,0.0,2.617,9.96,7.368,10.098,10.663,11.641,11.005
2017-08-01,0.75,0.0,2.415,9.78,7.294,9.97,10.41,11.496,10.727
2017-08-02,0.98,1.93,2.721,13.92,7.221,9.846,10.22,11.353,10.456
2017-08-03,1.53,18.86,2.89,14.26,7.16,10.056,15.358,16.126,10.191
2017-08-04,4.46,0.06,3.257,12.56,7.101,10.609,16.904,16.962,9.933
2017-08-05,4.58,0.02,3.165,11.22,8.188,9.939,16.488,16.278,9.682
2017-08-06,3.65,0.02,3.049,10.52,7.88,9.658,15.169,15.165,9.437
2017-08-07,2.49,0.0,3.292,10.1,7.659,9.545,13.685,14.063,9.199
2017-08-08,1.39,1.03,3.324,9.81,7.501,9.436,12.392,13.12,8.966
2017-08-09,1.05,0.04,3.129,9.59,7.39,9.331,11.358,12.365,8.739
2017-08-10,1.39,0.0,3.153,9.41,7.302,9.23,10.57,11.774,8.518
2017-08-11,1.02,0.02,3.874,9.25,7.238,9.132,9.975,11.314,8.303
2017-08-12,0.94,0.01,3.712,9.11,7.203,9.037,9.52,10.951,8.093
2017-08-13,1.63,38.35,3.453,28.52,9.709,12.3,31.327,30.819,18.667
2017-08-14,9.61,0.45,3.286,22.39,14.394,19.297,38.406,34.442,26.738
2017-08-15,7.59,2.09,2.781,17.48,14.593,13.471,37.488,31.881,22.213
2017-08-16,5.31,0.13,3.19,14.47,12.815,11.596,32.805,27.601,18.885
2017-08-17,5.28,0.01,3.017,12.77,11.512,11.399,27.401,23.395,16.424
2017-08-18,4.21,0.01,3.375,11.8,10.566,11.211,22.688,19.867,14.591
2017-08-19,3.27,19.84,4.194,23.64,9.883,13.205,24.997,22.764,15.159
2017-08-20,61.41,43.8,3.538,64.08,30.751,30.215,53.288,51.052,44.415
2017-08-21,75.69,0.08,3.639,51.69,57.535,54.906,60.908,54.476,64.664
2017-08-22,39.79,0.02,3.504,37.51,52.744,34.304,57.52,48.799,51.46
2017-08-23,23.08,0.05,4.27,29.77,41.945,27.396,49.43,40.903,41.876
2017-08-24,14.7,0.07,3.939,25.14,33.905,25.986,40.834,33.492,34.903
2017-08-25,9.33,0.03,4.342,22.11,27.933,24.727,33.58,27.414,29.807
2017-08-26,6.8,0.0,2.853,20.02,23.502,23.598,28.103,22.745,26.04
2017-08-27,4.6,0.0,2.764,18.51,20.219,22.58,24.214,19.294,23.231
2017-08-28,4.0,0.02,3.949,17.37,17.784,21.655,21.535,16.8,21.112
2017-08-29,3.59,0.0,3.727,16.46,15.974,20.81,19.702,15.018,19.491
2017-08-30,2.67,0.0,4.296,15.73,14.623,20.037,18.428,13.753,18.227
2017-08-31,3.48,0.0,2.93,15.11,13.604,19.327,17.51,12.854,17.222
2017-09-01,5.71,0.0,3.425,14.57,12.827,18.671,16.813,12.212,16.402
2017-09-02,5.99,0.0,4.123,14.09,12.222,18.065,16.253,11.749,15.716
2017-09-03,4.51,0.0,4.305,13.66,11.739,17.503,15.776,11.406,15.128
2017-09-04,3.66,0.0,3.652,13.27,11.341,16.981,15.351,11.142,14.611
2017-09-05,3.76,0.0,3.431,12.91,11.002,16.494,14.959,10.933,14.147
2017-09-06,3.82,0.0,4.09,12.57,10.704,16.039,14.589,10.761,13.722
2017-09-07,3.84,0.0,4.415,12.26,10.433,15.613,14.235,10.61,13.329
2017-09-08,3.77,0.0,2.988,11.96,10.18,15.214,13.894,10.473,12.959
2017-09-09,3.17,0.01,2.674,11.67,9.94,14.839,13.562,10.345,12.608
2017-09-10,2.22,0.0,3.052,11.4,9.709,14.485,13.24,10.224,12.273
2017-09-11,3.23,0.0,3.646,11.14,9.484,14.152,12.926,10.107,11.951
2017-09-12,2.71,0.0,2.649,10.9,9.265,13.838,12.62,9.99,11.641
2017-09-13,2.18,0.0,2.411,10.66,9.05,13.54,12.321,9.874,11.341
2017-09-14,1.62,0.0,2.581,10.43,8.841,13.259,12.03,9.76,11.05
2017-09-15,2.1,0.01,2.882,10.2,8.636,12.992,11.745,9.645,10.768
2017-09-16,1.35,0.01,2.991,9.99,8.436,12.738,11.467,9.531,10.493
2017-09-17,1.86,0.0,3.561,9.78,8.243,12.497,11.196,9.415,10.227
2017-09-18,2.05,0.01,3.591,9.58,8.055,12.267,10.931,9.297,9.967
2017-09-19,2.06,0.0,3.81,9.39,7.874,12.049,10.673,9.177,9.714
2017-09-20,2.71,0.0,3.586,9.2,7.7,11.84,10.42,9.055,9.468
2017-09-21,2.94,0.0,4.618,9.01,7.532,11.641,10.174,8.931,9.228
2017-09-22,1.77,0.0,3.941,8.84,7.372,11.451,9.933,8.804,8.995
2017-09-23,2.87,5.87,3.968,10.0,7.22,11.269,10.217,8.943,8.767
2017-09-24,8.11,1.5,3.051,9.48,7.077,11.097,10.194,8.878,8.545
2017-09-25,10.19,0.01,3.323,8.95,6.945,10.928,9.965,8.733,8.329
2017-09-26,6.65,0.03,3.807,8.63,6.824,10.768,9.64,8.563,8.118
2017-09-27,4.79,1.14,4.267,8.39,6.715,10.614,9.318,8.393,7.913
2017-09-28,4.6,0.96,3.103,8.82,6.615,10.466,9.017,8.231,7.713
2017-09-29,6.6,27.45,3.305,18.59,7.185,11.486,20.085,17.18,10.526
2017-09-30,9.99,9.04,2.441,14.53,11.473,14.722,24.829,19.662,17.43
2017-10-01,12.65,0.55,2.935,17.1,12.217,14.696,24.628,18.677,19.72
2017-10-02,10.75,13.94,3.814,14.02,11.684,14.238,25.001,18.994,22.367
2017-10-03,17.72,0.24,3.876,11.59,12.104,17.39,22.862,17.393,24.482
2017-10-04,16.59,0.01,4.301,10.41,12.459,14.19,19.977,15.366,20.603
2017-10-05,10.82,0.0,3.731,9.75,11.077,13.035,17.2,13.505,17.744
2017-10-06,5.83,9.12,3.446,17.54,10.075,13.419,16.168,12.873,15.622
2017-10-07,9.75,19.09,3.553,17.82,10.057,17.544,20.347,16.643,20.951
2017-10-08,26.58,21.82,3.916,30.87,23.713,28.287,28.055,23.242,37.983
2017-10-09,42.7,29.38,4.355,56.94,52.209,46.02,42.123,36.116,62.078
2017-10-10,83.11,37.23,4.081,129.46,87.386,80.305,65.061,58.714,90.795
2017-10-11,89.68,1.33,4.071,89.72,96.37,103.264,68.144,58.781,94.526
2017-10-12,46.84,1.91,4.123,57.17,81.635,71.49,61.537,51.102,74.424
2017-10-13,27.17,9.35,3.827,44.28,63.992,61.558,52.868,43.315,60.349
2017-10-14,18.89,0.64,3.956,35.6,50.863,60.314,43.722,35.457,50.194
2017-10-15,18.81,0.04,3.709,29.42,43.058,52.067,35.948,28.818,42.425
2017-10-16,19.53,0.06,3.008,25.38,35.354,46.513,29.993,23.657,36.746
2017-10-17,15.35,0.04,3.361,22.56,29.649,42.487,25.71,19.829,32.556
2017-10-18,9.53,0.03,4.221,20.52,25.407,39.105,22.732,17.071,29.428
2017-10-19,7.94,5.45,4.045,20.6,22.281,36.413,21.134,15.427,27.055
2017-10-20,10.74,0.11,4.702,18.75,19.958,34.252,19.864,14.139,25.22
2017-10-21,24.99,58.61,3.984,96.36,39.009,52.481,70.629,67.735,48.642
2017-10-22,76.2,8.06,5.01,70.62,74.529,94.122,87.985,78.405,68.611
2017-10-23,58.29,0.01,4.808,48.94,65.628,70.562,85.901,71.609,59.106
2017-10-24,38.76,0.02,4.58,38.83,55.367,56.203,74.815,59.906,50.002
2017-10-25,33.94,19.71,3.26,53.07,45.094,57.465,67.833,55.985,48.434
2017-10-26,53.62,3.96,3.42,43.95,47.509,65.398,58.821,47.981,47.797
2017-10-27,47.93,10.85,4.078,39.34,43.91,58.003,51.89,41.934,47.219
2017-10-28,43.65,0.1,4.502,33.02,42.685,57.21,45.141,35.322,46.506
2017-10-29,41.8,22.48,5.057,134.87,44.122,57.902,47.034,40.37,50.574
2017-10-30,165.85,46.25,4.67,122.7,84.311,99.576,77.314,85.056,83.274
2017-10-31,138.87,0.09,4.793,82.66,104.667,143.51,84.427,89.301,98.578
2017-11-01,86.39,0.02,4.629,60.3,90.88,99.342,79.378,78.992,80.838
2017-11-02,58.86,0.0,4.04,48.21,72.325,78.413,69.298,65.344,67.907
2017-11-03,52.46,20.13,5.143,60.09,58.437,74.473,64.98,63.141,59.618
2017-11-04,83.32,31.04,3.956,88.85,70.659,96.012,72.786,81.431,73.016
2017-11-05,123.37,0.97,4.344,68.73,83.96,113.718,70.802,77.437,82.178
2017-11-06,83.84,0.01,4.38,52.89,74.446,84.714,64.336,66.424,69.917
2017-11-07,62.69,0.0,4.635,44.34,60.297,69.705,56.627,54.761,60.869
2017-11-08,50.82,2.0,5.474,39.87,49.701,61.07,49.685,44.733,54.137
2017-11-09,43.74,0.03,4.599,35.49,41.758,54.31,44.105,36.855,49.069
2017-11-10,50.96,24.03,4.065,59.01,36.408,54.558,48.61,46.839,45.2
2017-11-11,91.38,0.14,4.704,45.87,34.522,59.398,48.439,45.603,42.193
2017-11-12,60.01,0.0,5.305,36.87,34.914,49.613,45.917,40.692,39.806
2017-11-13,48.61,0.0,5.515,32.47,30.609,43.924,42.493,35.3,37.865
2017-11-14,41.57,0.03,5.249,29.65,27.341,40.31,39.163,30.591,36.247
2017-11-15,32.25,0.0,5.398,27.63,24.841,37.256,36.344,26.855,34.861
2017-11-16,23.78,3.28,5.452,26.59,22.907,34.645,34.265,24.124,33.647
2017-11-17,17.62,2.17,4.546,25.18,21.389,32.387,32.642,22.088,32.562
2017-11-18,42.95,47.27,5.04,52.32,28.251,40.471,64.97,72.033,47.621
2017-11-19,70.74,0.05,5.643,40.58,49.577,57.573,75.027,80.656,58.987
2017-11-20,42.21,2.39,5.751,35.57,50.101,43.877,73.017,73.727,51.635
2017-11-21,39.13,27.74,5.137,58.34,45.892,46.382,76.972,84.138,55.991
2017-11-22,70.54,0.1,5.479,46.03,53.996,58.988,72.161,77.367,59.38
2017-11-23,44.36,0.0,6.417,36.3,52.584,46.79,64.208,65.736,52.199
2017-11-24,34.67,0.0,5.588,31.48,43.511,40.75,55.985,54.263,46.81
2017-11-25,28.75,10.52,4.193,35.62,36.682,38.673,50.631,47.468,42.718
2017-11-26,25.08,1.92,4.862,30.92,31.534,37.77,45.805,40.565,39.565
2017-11-27,25.6,0.01,4.8,27.37,27.644,34.29,41.769,34.691,37.089
2017-11-28,22.2,0.4,4.977,25.35,24.693,31.822,38.544,30.081,35.096
2017-11-29,17.87,0.26,4.881,23.95,22.444,29.92,36.042,26.618,33.454
2017-11-30,14.6,6.39,5.341,26.02,20.714,28.29,34.731,24.83,32.075
2017-12-01,14.38,0.13,5.734,23.66,19.368,26.884,33.433,23.154,30.886
2017-12-02,13.72,0.0,5.843,22.05,18.306,25.499,32.206,21.749,29.836
2017-12-03,11.68,0.36,5.241,21.07,17.452,24.286,31.074,20.636,28.892
2017-12-04,10.3,2.71,3.902,20.38,16.737,23.204,30.164,19.812,28.028
2017-12-05,10.73,0.18,4.529,19.76,16.143,22.224,29.285,19.171,27.225
2017-12-06,9.98,3.87,5.124,27.43,15.634,21.331,28.678,18.81,26.47
2017-12-07,11.14,15.92,5.354,28.24,15.178,20.806,31.79,23.903,25.754
2017-12-08,11.67,3.74,4.979,23.39,14.777,20.595,32.529,24.772,25.07
2017-12-09,8.02,0.0,4.572,20.73,15.741,19.513,31.736,23.893,24.413
2017-12-10,5.33,0.0,4.194,19.41,15.091,18.743,30.249,22.527,23.779
2017-12-11,4.83,0.0,4.683,18.56,14.546,18.131,28.639,21.187,23.166
2017-12-12,6.64,0.0,5.065,17.94,14.081,17.564,27.176,20.042,22.572
2017-12-13,8.33,0.08,4.742,17.44,13.678,17.038,25.936,19.115,21.996
2017-12-14,7.8,2.76,5.338,17.68,13.319,16.547,25.022,18.415,21.435
2017-12-15,6.97,8.03,4.88,19.06,12.991,16.114,25.168,18.877,20.891
2017-12-16,8.75,1.05,5.864,18.08,12.711,15.733,24.762,18.635,20.36
2017-12-17,12.51,27.84,5.659,56.45,13.956,16.976,35.735,33.582,21.429
2017-12-18,28.44,2.01,5.924,41.15,17.391,19.872,38.858,36.032,22.145
2017-12-19,25.43,11.49,5.855,52.38,17.761,17.866,39.671,36.338,22.271
2017-12-20,23.92,5.84,4.892,44.91,16.185,18.484,37.739,33.803,22.982
2017-12-21,29.97,21.01,3.701,60.85,18.305,21.519,41.077,39.899,34.724
2017-12-22,42.54,13.47,3.564,78.6,33.658,32.653,42.615,42.493,50.146
2017-12-23,44.43,14.26,4.831,76.86,45.885,36.941,43.436,44.313,56.344
2017-12-24,36.89,8.27,4.668,62.83,51.094,39.042,41.741,42.164,56.761
2017-12-25,51.27,4.92,5.848,49.16,47.141,34.712,38.488,37.882,50.534
2017-12-26,50.02,0.56,5.392,40.48,41.662,29.857,34.654,33.157,43.413
2017-12-27,37.34,3.12,5.837,35.94,34.459,27.703,31.276,29.088,38.134
2017-12-28,30.4,12.36,5.459,44.25,29.097,28.25,30.745,29.452,34.186
2017-12-29,44.9,29.13,5.545,50.13,37.674,40.316,42.079,49.857,47.077
2017-12-30,73.16,12.68,5.667,61.19,60.083,59.355,46.987,56.444,62.004
2017-12-31,87.46,4.4,4.976,48.14,57.42,52.195,45.913,52.985,57.667
2018-01-01,62.31,3.93,4.768,62.21,50.785,42.156,42.045,46.528,49.53
2018-01-02,78.53,22.4,5.701,56.32,47.134,47.11,44.922,55.176,54.543
2018-01-03,79.7,0.17,5.191,46.61,54.219,60.475,43.182,52.4,58.495
2018-01-04,56.22,0.0,5.06,39.93,51.51,47.763,39.52,46.118,50.627
2018-01-05,41.78,0.0,5.357,35.17,42.448,41.483,35.421,39.623,44.772
